ranking,schoolname,address1,address2,latitude,longitude,roll_number,id
139,St Vincent's Secondary School, Dundalk, Co Louth,54.005274,-6.391834,63900R,142
142,Colaiste Raithin, Bray, Co Wicklow,53.2096484,-6.109433,70821M,145
143,Colaiste an Eachréidh, Athenry, Co Galway,53.3011203,-8.7467822,76102K,146
144,Scoil Chuimsitheach Chiarain, Carraroe, Co Galway (G),53.2622391,-9.5978179,81012N,147
145,Maryfield College, Drumcondra, Dublin 9,53.3760038,-6.235165,60840K,148
147,St Anne's Community College, Killaloe, Co Clare,52.8030727,-8.4402273,70901K,150
148,Balla Secondary School, Balla, Co Mayo,53.8071689,-9.1375791,64500G,151
150,St Benildus College, Kilmacud, Dublin 14,53.2846602,-6.2213697,60261R,153
153,Ratoath College, Jamestown, Co Meath,53.499422,-6.4575933,76088T,156
154,Meanscoil San Nioclas, Rinn O gCuanach, Co Waterford (G),52.0477152,-7.5755797,76066J,157
155,Colaiste Ghobnatan, Ballymakeera, Co Cork (G),51.9392118,-9.1558049,70920O,158
157,Our Lady's Secondary School, Belmullet, Co Mayo,54.2135644,-9.9824053,64570E,160
158,St Mary's Secondary School, New Ross, Co Wexford,52.3995627,-6.9307021,63620L,161
159,St Louis High School, Rathmines, Dublin 6,53.3215157,-6.2705757,60890C,162
160,Loreto Secondary School, Balbriggan, Co Dublin,53.6125785,-6.1858034,60010P,163
161,St Flannan's College, Ennis, Co Clare,52.8336549,-8.9835507,61920N,164
162,Sacred Heart Secondary School, Tullamore, Co Offaly,53.2766602,-7.4851351,65620V,165
163,Mercy College, Woodford, Co Galway,53.0488882,-8.3971015,63171I,166
164,Scoil Dara, Kilcock, Co Kildare,53.4029847,-6.6704329,61691B,167
166,Loreto Secondary School, Clonmel, Co Tipperary,52.3503221,-7.6941296,65330M,169
170,Confey Community College, Leixlip, Co Kildare,53.3728402,-6.4983019,70691C,173
171,Ardscoil Ui Urmoltaigh, Bandon, Co Cork,51.746973,-8.7442525,62050O,174
172,Oatlands College, Stillorgan, Co Dublin,53.2926895,-6.2026421,60050E,175
173,Presentation Secondary School, Loughboy, Kilkenny,52.638977,-7.2472105,61590S,176
174,Community College, Dunshaughlin, Co Meath,53.5138304,-6.5497252,71960I,177
175,St Louis Secondary School, Carrickmacross, Co Monaghan,53.9733154,-6.7184699,64760J,178
176,St Mary's Knockbeg College, Knockbeg, Co Carlow,52.867315,-6.9377338,61130H,179
177,Stratford College, Rathgar, Dublin 6,53.3097011,-6.2743134,61020A,180
179,Loreto Secondary School, Bray, Co Wicklow,53.1968412,-6.1065022,61820J,182
180,Sligo Grammar School, The Mall, Sligo (B),54.2729652,-8.463732,65190W,183
181,Presentation College, Tuam, Co Galway,53.5179802,-8.8490486,63170G,184
184,Sacred Heart School, Westport, Co Mayo,53.8012648,-9.5175595,64710R,187
185,Presentation Secondary School, Tralee, Co Kerry,52.2660639,-9.7000182,61450C,188
187,Our Lady's Secondary School, Castleblayney, Co Monaghan,54.1192092,-6.7432266,64770M,190
188,St Mary's Secondary School, Ballina, Co Mayo,54.1158044,-9.1628981,64520M,191
191,St Paul's Secondary School, Oughterard, Co Galway,53.4302059,-9.3291638,63101K,194
192,Midleton College, Midleton, Co Cork (B),51.910309,-8.167486,71050P,195
194,St David's Secondary School, Greystones, Co Wicklow,53.1467248,-6.0609531,61830M,197
195,Mohill Community College, Co Leitrim, 2Mohill Community College,53.9228706,-7.8715063,76089V,198
196,St Louis Secondary School, Monaghan, ,54.2449085,-6.9727512,64820B,199
197,Colaiste Cholmain, Claremorris, Co Mayo,53.7351315,-8.9808415,64610N,200
198,Meanscoil na mBraithre Criostai, James Street, Kilkenny,52.6530261,-7.2561542,61550G,201
199,Rathmines College, Rathmines, Dublin 6,53.3240796,-6.2652375,70280E,202
201,St Dominic's College, Cabra, Dublin 7,53.3714993,-6.3075605,60731F,204
202,St Macartan's College, Monaghan, ,54.2639066,-6.9562484,64810V,205
203,Portmarnock Community School, Portmarnock, Co Dublin,53.431772,-6.13749,91324P,206
205,Drogheda Grammar School, Drogheda, Co Louth,53.7185462,-6.3035134,63870L,208
206,Ballinamore Community School, Ballinamore, Co Leitrim,54.0582796,-7.7926755,91519H,209
207,Pobalscoil Inbhear Sceine, Kenmare, Co Kerry,51.8821731,-9.5830017,91503P,210
208,Franciscan College, Gormanston, Co Meath,53.6344819,-6.2358322,64420I,211
210,St Mary's Secondary School, Charleville, Co Cork,52.3543921,-8.6866722,62450H,213
211,St Mary's Secondary School, Edenderry, Co Offaly ,53.3398252,-7.0598529,65582Q,214
212,Scoil Pol, Kilfinane, Co Limerick,52.3616468,-8.4720349,64130W,215
213,St Brigid's School, Tuam, Co Galway,53.5128392,-8.8478484,63160D,216
215,St Raphael's College, Loughrea, Co Galway,53.1999042,-8.5609795,63070C,218
216,Meanscoil Na mBraithre, Ennistymon, Co Clare,52.941792,-9.2895743,61940T,219
217,Skerries Community College, Skerries, Co Dublin,53.5792175,-6.1158609,76078Q,220
218,Colaiste Pobail Setanta, Dublin 15, ,53.3977573,-6.4348173,76098W,221
219,St Leo's College, Dublin Road, Carlow,52.839996,-6.9274908,61140K,222
220,Colaiste Muire, Crosshaven, Co Cork,51.801271,-8.2981646,62200H,223
221,Colaiste Ailigh, Letterkenny, Co Donegal,54.9627237,-7.7241272,76081F,224
222,Newpark Comprehensive School, Blackrock, Co Dublin,53.2898876,-6.173119,81001I,225
224,Ballincollig Community School, Ballincollig, Co Cork,51.890044,-8.6023365,91386O,227
225,St Michael's College, Listowel, Co Kerry,52.4475421,-9.4760996,61370E,228
226,Clonkeen College, Blackrock, Co Dublin,53.2698715,-6.1571744,60092U,229
228,St Attracta's Community School, Tubbercurry, Co Sligo,54.0534113,-8.7604927,91512Q,231
229,Scoil Mhuire Community School, Clane, Co Kildare,53.2918225,-6.6980338,91372D,232
231,Loreto College, Mullingar, Co Westmeath,53.5297874,-7.346506,63290Q,234
232,Our Lady's College, Drogheda, Co Louth,53.7202731,-6.3269481,63850F,235
234,Assumption Secondary School, Walkinstown, Dublin 12,53.3225312,-6.3319853,60851P,237
235,Ashbourne Community School, Deerpark, Co Meath ,53.5041275,-6.3881152,91495T,238
237,St Joseph's Secondary School, Navan, Co Meath,53.6502756,-6.6881753,64360Q,240
238,St Augustine's College, Dungarvan, Co Waterford,52.100178,-7.591896,64890W,241
239,Mean Scoil Mhuire, Longford , ,53.7254726,-7.7956046,63760E,242
240,Meanscoil Gharman, Enniscorthy, Co Wexford,52.4733379,-6.5580411,68080H,243
241,St Kevin's Community College, Dunlavin, Co Wicklow,53.0543708,-6.6967596,70800E,244
242,St Joseph's CBS, Nenagh, Co Tipperary,52.8665478,-8.1930194,65370B,245
243,Manor House, Raheny, Dublin 5,53.3785542,-6.1729941,60300B,246
244,Clonakilty Community College, Clonakilty, Co CorkCorkM46.785.65453211.5023-88338,51.6248108,-8.8870622,70950A,247
245,St Angela's Ursuline Convent, Waterford, ,52.2459495,-7.1137591,64990D,248
247,Colaiste na Sceilge, Caherciveen, Co Kerry,51.9401427,-10.2408435,76068N,250
248,Royal School Cavan, Cavan (B), ,53.9844935,-7.3617566,61080S,251
249,Scoil Chriost Ri, Portlaoise, Co Laois,53.0487946,-7.2801655,63451O,252
250,Ursuline Secondary School, Blackrock, Cork,51.8955772,-8.4157559,62650P,253
254,Colaiste Cholmain, Fermoy, Co Cork,52.1372158,-8.2790351,62260C,257
255,Mercy Secondary School, Inchicore, Dublin 8,53.3373353,-6.3218796,60872A,258
256,Luttrelstown Community College, Co Dublin, ,53.3753316,-6.4088352,76130P,259
257,Scoil Mhuire, Strokestown, Co Roscommon,53.7774271,-8.1123617,65100S,260
258,John The Baptist Community School, Hospital, Co Limerick ,52.4735323,-8.434838,91502N,261
259,Davitt College, Castlebar, Co Mayo,53.8571589,-9.2903781,76060U,262
260,St Aloysius' School, St Maries of the Isle, Cork,51.8957282,-8.4818746,62630J,263
262,Colaiste Muire, Ballymote, Co Sligo,54.0939456,-8.5138488,65140H,265
263,Community School, Carrick-on-Shannon, Co Leitrim,53.949038,-8.085044,91496V,266
264,Beara Community School, Beara, Co Cork,51.6476511,-9.9135981,91387Q,267
265,Scoil Mhuire, Kanturk, Co Cork,52.178266,-8.9116213,62290L,268
267,Holy Family Secondary School, Newbridge, Co Kildare,53.1832238,-6.7899728,61682A,270
269,St Aidan's CBS, Whitehall, Dublin 9,53.3846085,-6.2517664,60481I,272
270,Colaiste Pobail Rath Cairn, Athboy, Co Meath (G),53.6200683,-6.860762,71991T,273
271,Colaiste Chriost Ri, Capwell Road, Cork,51.8895847,-8.4646216,62560O,274
272,Mercy Secondary School, Tralee, Co Kerry,52.2835862,-9.724129,68070E,275
273,Mountrath Community School, Co Laois, ,52.995324,-7.4812815,91550B,276
274,Boyne Community School, Trim, Co Meath ,53.550757,-6.784501,91508C,277
275,Mary Immaculate Secondary School, Lisdoonvarna, Co Clare,53.0305019,-9.2898619,62000W,278
277,St Mary's College, Arklow, Co Wicklow,52.7952681,-6.1579569,61780A,280
278,St Anne's Secondary School, Rosanna Road, Tipperary,52.47842,-8.162647,65500L,281
279,Moate Community School, Church Street, Co Westmeath,53.3967393,-7.7260493,91501L,282
280,Our Lady of Lourdes Secondary School, New Ross, Co Wexford,52.3985154,-6.9530036,63630O,283
281,Scoil Muire agus Padraig, Swinford, Co Mayo,53.9419276,-8.9522376,64690O,284
282,Colaiste Phadraig CBS, Lucan, Co Dublin,53.3568794,-6.432607,60264A,285
283,St Louis Secondary School, Dundalk, Co Louth,54.0170012,-6.4262564,63910U,286
285,Donabate Community College, Donabate, Co Dublin,53.4899919,-6.1458709,76104O,288
286,Scoil Mhuire, Carrick-on-Suir, Co Tipperary,52.3504642,-7.4014202,65280A,289
287,St Declan's College, Cabra, Dublin 7,53.3665733,-6.3031375,60491L,290
288,Wilson's Hospital School, Multyfarnham, Co Westmeath (B),53.6126153,-7.4186884,63300Q,291
289,Mean Scoil an Chlochair, Kilbeggan, Co Westmeath,53.3675844,-7.4931893,63221U,292
290,Presentation Secondary School, Ballingarry, Co Tipperary,52.5897416,-7.5655554,65240L,293
291,Colaiste Bride, Clondalkin, Dublin 22,53.3204526,-6.3931241,60122D,294
292,Cross And Passion College, Kilcullen, Co Kildare,53.1302052,-6.7467934,61690W,295
293,St Michael's Community College, Kilmihill, Co Clare,52.7248033,-9.3211622,70860W,296
294,Presentation Secondary School, Miltown, Killarney,52.0585011,-9.515911,61340S,297
295,Scariff Community College, Scariff, Co Clare,52.9027336,-8.5359141,70900I,298
