roll_number,schoolname,address1,address2,address3,address4,county,local_auth,principalfirstname,principallastname,eircode,latitude,longitude,phone_no,email,schooltype
00851C,PRESENTATION CONVENT,Ballymakenny Road,Drogheda,Co. Louth,NULL,Louth,Louth County Council,Nora,Molloy,A92E296,53.7297495,-6.3436372,419837119,presentationprimary@yahoo.com,primary
00856M,SCOIL NAOMH MICHEAL,St. Mel's Road,Longford,NULL,NULL,Longford,Longford County Council,Nora,Horan,N39AX75,53.7294138,-7.7964324,433345536,stmichaelsbns@gmail.com,primary
00860D,FORGNEY N S,Cloncallow,Ballymahon,Co. Longford,NULL,Longford,Longford County Council,Adrian,Coughlan,N39TW52,53.5443953,-7.6988621,906452659,forgneyschool@gmail.com,primary
00883P,AINE NAOFA N S,Fairgreen,Navan,Co. Meath,NULL,Meath,Meath County Council,Cliodhna,O'Bric,C15E208,53.6514886,-6.6848538,469023039,office@stannesnavan.ie,primary
00885T,RATOATH JUNIOR N S,Fairyhouse Road,Ratoath,Co. Meath,NULL,Meath,Meath County Council,Miriam,Fox,A85P296,53.5031276,-6.4662755,18256639,office@ratoathjuniorns.ie,primary
00892Q,SHANGANAMORE N S,Shanganamore,Athy,Co. Laois,NULL,Laois,Laois County Council,Pauline,Lawlor,R14K659,52.9532613,-6.9893985,598632315,shanganamorens87@gmail.com,primary
00895W,BALLINAKILL MIXED N S,Ballinakill,Portlaoise,Co. Laois,NULL,Laois,Laois County Council,Caitriona,O'Callaghan,R32TX38,52.8777604,-7.3088444,578733393,ballinakillps@gmail.com,primary
00934G,PRESENTATION CONVENT (JNR),Harbour Street,Mullingar,Co. Westmeath,NULL,Westmeath,Westmeath County Council,Bernadette,Beddows,N91YD83,53.528376,-7.342557,449342166,adminjnr@presentationmullingar.ie,primary
00941D,S N BHRIDE,Emper,Ballynacargy,Co. Westmeath,NULL,Westmeath,Westmeath County Council,Kathryn,Keenan,N91PP71,53.6030953,-7.5831872,449373388,emperns.ias@eircom.net,primary
00973Q,GRANGE CON N S,Grangecon,Dunlavin,Co. Wicklow,NULL,Wicklow,Wicklow County Council,Linda,Dowling (Acting Principal),W91TV06,52.997873,-6.74315,45403111,grangeconns1965@gmail.com,primary
00977B,BALLYCONNELL N S,Ballyconnell,Tullow,Co. Carlow,NULL,Carlow,Carlow County Council,Mary,Cahill,R93VA44,54.1136857,-7.5819906,599156226,ballyconnellnationalschool@gmail.com,primary
00984V,GLENEALY 1 N S,Glenealy,Co. Wicklow,NULL,NULL,Wicklow,Wicklow County Council,Denise,O Brien,A67CD78,52.9666341,-6.1445729,40444884,secretary@glenealy2ns.com,primary
01000E,ESKER N S,Esker,Athenry,Co. Galway,NULL,Galway,Galway County Council,Iomar,Burke,H65HY10,53.2786183,-8.6816856,91848008,eskerschool@gmail.com,primary
01013N,SCOIL CROI IOSA,Newcastle Road,Galway,NULL,NULL,Galway,Galway City Council,Colin,Barry,H91FV48,53.2742202,-9.0626292,91525904,scoilchroiiosa@gmail.com,primary
01086R,S N POL NAOFA,Church Road,Castlerea,Co. Roscommon,NULL,Roscommon,Roscommon County Council,Olivia,Walsh,F45FK09,53.7686571,-8.4924537,949620566,boysnscastlerea.ias@gmail.com,primary
01116A,BAILE AN CHUILINN N S,Ballinkillen,Muine Bheag,Co. Carlow,NULL,Carlow,Carlow County Council,Michelle,Doorley,R21Y803,52.65396,-6.93134,599775153,bkns.ias@gmail.com,primary
01125B,LEITRIM MXD N S,Leitrim Village,Carrick-on-Shannon,Co. Leitrim,NULL,Leitrim,Leitrim County Council,Richella,Majella Kelly,N41EC81,53.9450428,-8.0966432,719621205,leitrimns@gmail.com,primary
01170G,S N NA H-AILLE,Westown,Naul,Co. Dublin,NULL,Dublin,Fingal County Council,Edel,McMahon,K32PX40,53.5841591,-6.2883621,18413821,naulns@eircom.net,primary
01197D,STRAWBERRY HILL B N S,Blarney Street,Sunday's Well,Cork,NULL,Cork,Cork City Council,Martina,Barry,T23RW98,51.9008431,-8.5002409,214308119,sundayswellbns@yahoo.ie,primary
01215C,NEWTOWN DUNLECKNEY MXD,Newtown,Muinebheag,Co. Carlow,NULL,Carlow,Carlow County Council,Maurice,Bric,R21PP74,52.7227582,-6.8767292,599727299,newtowndunleckneyns@gmail.com,primary
01272O,S N CHUAN DOIR,Drombeg,Glandore,Co. Cork,NULL,Cork,Cork County Council,Norma,Whelton,P81VE04,51.564569,-9.0873795,2833796,glandorenationalschool@gmail.com,primary
01285A,TIPPERARY JNR BN S,St Michael's Street,Tipperary,NULL,NULL,Tipperary,Tipperary (Sr) County Council,Siobhan,Verdon,E34HD52,52.4772019,-8.1599787,6251913,stmichaelsjbs@gmail.com,primary
01300Q,ST MICHAELS NATIONAL SCHOOL,Danesfort,Co. Kilkenny,NULL,NULL,Kilkenny,Kilkenny County Council,Niamh,McGrath,R95X527,52.5828769,-7.2416512,567727588,danesfortns@gmail.com,primary
01309L,STACKALLEN N S,Stackallen,Navan,Co. Meath,NULL,Meath,Meath County Council,Rebekah,Rafferty,C15Y104,53.7107563,-6.620925,469024207,info@stackallenschool.com,primary
01328P,KILTORMER N S,Kiltormer,Ballinasloe,Co. Galway,NULL,Galway,Galway County Council,Grainne,Dooley,H53AH28,53.2356206,-8.2743395,909627109,kiltormernsgalway@gmail.com,primary
01356U,KILNALECK MIXED N S,Barrack Road,Kilnaleck,Co. Cavan,NULL,Cavan,Cavan County Council,Kathleen,Tinneny,A82EY42,53.8583069,-7.3180517,494336728,kilnaleckns1@gmail.com,primary
01395H,AGLISH N S,Aglish,Cappoquin,Co. Waterford,NULL,Waterford,Waterford County Council,Jennie,Lynch,P51WA03,52.0732106,-7.8235611,2496425,aglishnationalschool@gmail.com,primary
01396J,TULLOHA NATIONAL SCHOOL,Bonane,Kenmare,Co. Kerry,NULL,Kerry,Kerry County Council,Pamela,Uí Dhuilleáin,V93DW99,51.8801017,-9.5835203,646641977,tullohans@gmail.com,primary
01415K,RATHOE NS,Rathoe,Co. Carlow,NULL,NULL,Carlow,Carlow County Council,Bláthnaid,McDermott,R93XY18,52.7875272,-6.7997553,599148786,info@rathoens.com,primary
01421F,KILSKYRE MIXED N S,Kilskyre,Kells,Co. Meath,NULL,Meath,Meath County Council,Ailish,McKeown,A82DH22,53.6938579,-6.9959853,469243947,kilskyrens@gmail.com,primary
01434O,S N COLUMCILLE,Tullydonnell,Togher,Drogheda,Co. Louth,Louth,Louth County Council,Ann,Marie Ford,A92TW50,53.838053,-6.3361433,416852301,st.colmcilles1@gmail.com,primary
01553W,ST. MOCHTA'S NATIONAL SCHOOL,Louth Village,Co. Louth,NULL,NULL,Louth,Louth County Council,Patrick,Martin,A91AE79,53.9501285,-6.5435177,429374840,louthschool@gmail.com,primary
01554B,BAILE AN PHUSTA N S,Ballapousta,Ardee,Co. Louth,NULL,Louth,Louth County Council,Peter,Dooley,A92XD53,53.8216201,-6.5584044,416853966,secretary.ballapousta.ns@gmail.com,primary
01569O,BALLYCAHILL N S,Ballycahill,Thurles,Co. Tipperary,NULL,Tipperary,Tipperary (Nr) County Council,Mary,Madden,E41RR68,52.6801064,-7.8044421,50422492,ballycahillns@gmail.com,primary
01572D,S N NAOMH PADRAIG,Carrowhill,Drumfries,Co. Donegal,NULL,Donegal,Donegal County Council,Roisin,Walsh,F93YY19,55.1988576,-7.3933738,749363396,admin@drumfriesschool.com,primary
01574H,SCOIL NAOMH IÓSAF,Connaghkinnego,Ballymagan,Buncrana,Co. Donegal,Donegal,Donegal County Council,Andrea,Long,F93HX30,55.15701,-7.3541386,749362212,stjoesias@gmail.com,primary
01583I,GLOUNAGUILLAGH N S,Glannagilliagh,Caragh Lake,Killorglin,Co. Kerry,Kerry,Kerry County Council,Sinead,Pigott,V93HX07,52.0720144,-9.8325634,669769402,glounaguillaghns@gmail.com,primary
01594N,ST JOHNS,Goldengrove Road,Roscrea,Co. Tipperary,NULL,Tipperary,Tipperary (Nr) County Council,Mark,McLoughlin,E53N562,52.9551789,-7.7984696,50523903,scoileoinnaofa@gmail.com,primary
01607T,S N COR NA FOLA B,Cornafulla,Athlone,Co. Roscommon,NULL,Roscommon,Roscommon County Council,Joan,Conway,N37FW74,53.3753507,-8.0051352,906437177,principal@cornafullans.ie,primary
01676P,BALLINDINE B N S,Ballindine,Claremorris,Co. Mayo,NULL,Mayo,Mayo County Council,Stephen,McHugh,F12CY64,53.6728505,-8.9567623,949364204,ballindineinfo@gmail.com,primary
01687U,DROMLEIGH N S,Dromleigh,Kilmichael,Macroom,Co. Cork,Cork,Cork County Council,Áine,Ní Bhrollacháin,P12DY26,51.8343868,-9.0383537,2646212,dromleighns@gmail.com,primary
01692N,FIRMOUNT MIXED N S,Firmount,Donoughmore,Co. Cork,NULL,Cork,Cork County Council,Cristin,Ní Shé,P32TX21,51.9877808,-8.6979103,217337344,info@firmountns.ie,primary
01711O,S N CILL ROSANTA,Kilrossanty,Kilmacthomas,Co. Waterford,NULL,Waterford,Waterford County Council,Catherine,Dunwoody,X42XW57,52.1782195,-7.540557,51291419,kilrossanty.ias@eircom.net,primary
01731U,BALLYNACARGY MIXED N S,Ballynacargy,Co. Westmeath,NULL,NULL,Westmeath,Westmeath County Council,Lorraine,Rowan - Deputy Principal,N91TW13,53.585042,-7.5372572,449373300,principal.ballynacargyns@gmail.com,primary
01733B,ARDARA MIXED N S,Back Road,Ardara,Co. Donegal,NULL,Donegal,Donegal County Council,Laraine,Long,F94P279,54.7640527,-8.4113885,749541539,woodns2001@gmail.com,primary
01782O,S N NAOMH PADRAIG,Barnacleagh,Arklow,Co. Wicklow,NULL,Wicklow,Wicklow County Council,Catherine,McGarry,Y14NW50,52.7982788,-6.1561499,40239602,bcjohnstown@gmail.com,primary
01795A,CENTRAL INFS SCHOOL,Marlborough Street,Dublin 1,NULL,NULL,Dublin,Dublin City Council,Catherine,Groves,D01ER24,53.3513517,-6.2558236,18788344,info@centralmodelinfantschool.ie,primary
01821V,S N RATH MOR,Rathmore,Naas,Co. Kildare,NULL,Kildare,Kildare County Council,Lucy,Travers,W91VK46,53.2060287,-6.5697878,45862145,office.rathmorens@gmail.com,primary
01840C,ST CANICE S CONVENT,Rosbercon,New Ross,Co. Wexford,NULL,Wexford,Wexford County Council,Rachel,O'Donnell,Y34VH61,52.3975912,-6.9526612,51422813,stcanicesns@gmail.com,primary
01862M,TIPPERARY G N S,St Michael's Street,Tipperary,NULL,NULL,Tipperary,Tipperary (Sr) County Council,Íde,Mooney,E34Y098,52.4770685,-8.1599693,6233527,stmichaelsgnsinfo@gmail.com,primary
01866U,BALLYFORAN MIXED N S,Ballyforan,Ballinasloe,Co. Roscommon,NULL,Roscommon,Roscommon County Council,Thomas,Murray,H53WN36,53.4697671,-8.2735544,906622300,ballyforanns@gmail.com,primary
01867W,CASTLELYONS B N S,Castlelyons,Co. Cork,NULL,NULL,Cork,Cork County Council,Chonchubhair,de Róiste,P61PH66,52.0826369,-8.2291032,2536220,castlelyonsns@gmail.com,primary
02007A,CROAGH NATIONAL SCHOOL,Croagh,Rathkeale,Co. Limerick,NULL,Limerick,Limerick County Council,Teresa,Lawlor,V94R7R2,52.5343874,-8.8733756,6964750,croaghns@outlook.com,primary
02013S,BALLINTOGHER N S,Kingsfort,Ballintogher,Co. Sligo,NULL,Sligo,Sligo County Council,Nora,Kearins,F91DR72,54.2006449,-8.3649676,719164939,sntreasa@gmail.com,primary
02114B,S N BAILE UI GHIBLIN,Ballygiblin,Mitchelstown,Co. Cork,NULL,Cork,Cork County Council,Margaret,Collins,P67PK30,52.2662127,-8.2698863,2524933,ballygiblins19@gmail.com,primary
02124E,SCOIL NAIS MOLAISE,Parknakyle,Old Leighlin,Co. Carlow,NULL,Carlow,Carlow County Council,Mandy,Ryan,R93NX05,52.739728,-7.0336882,599722166,oldleighlinns@eircom.net,primary
02237R,DUALLA N S,Dualla,Cashel,Co. Tipperary,NULL,Tipperary,Tipperary (Sr) County Council,John,Manley,E25E288,52.5396762,-7.8158601,6262241,duallans@gmail.com,primary
02263S,CROWENSTOWN N S,Crowenstown,Delvin,Co. Westmeath,NULL,Westmeath,Westmeath County Council,Dympna,Comiskey,N91X7DV,53.6112835,-7.0370318,449664585,stpatsns@yahoo.ie,primary
02278I,MILLSTREET CONVENT N S,West End,Millstreet,Co. Cork,NULL,Cork,Cork County Council,Siobhán,Uí Bhuachalla,P51V599,52.0589213,-9.0657421,2970957,millpns@gmail.com,primary
02322I,ST OLIVERS NS,Dundalk Street,Carlingford,Co. Louth,NULL,Louth,Louth County Council,Eileen,Mary Pike,A91NW92,54.0371322,-6.1843937,429373405,info@stoliversns.ie,primary
02358G,TEMPLEGLANTINE N S,Templeglantine East,Co. Limerick,NULL,NULL,Limerick,Limerick County Council,Ann,Leonard,V94KC56,52.3946392,-9.1800805,6984300,glantine.ias@eircom.net,primary
02413L,S N NAOMH EOIN,Rath,Fivealley,Birr,Co. Offaly,Offaly,Offaly County Council,Maria,Davis,R42HN30,53.0980052,-7.9096882,579133011,sneoinrath@eircom.net,primary
02418V,Knockaderry Farranfore National School,Farranfore,Killarney,Co. Kerry,NULL,Kerry,Kerry County Council,Áine,Daly,V93NF44,52.1715992,-9.5477977,669764729,knockaderryfarranforens@gmail.com,primary
02428B,LACKAMORE N S,Lackamore,Newport,Co. Tipperary,NULL,Tipperary,Tipperary (Nr) County Council,Karen,O'Brien,V94V5D1,52.694825,-8.3222579,61378360,lackamorens@gmail.com,primary
02439G,S N MHUIRE,Bauroe,Feakle,Co. Clare,NULL,Clare,Clare County Council,Marion,Mahon,V94R8Y1,52.9260682,-8.6486521,61924116,feaklens@gmail.com,primary
02452V,CLOYNE NATIONAL SCHOOL,Cloyne,Co. Cork,NULL,NULL,Cork,Cork County Council,Mary,O'Brien,P25K220,51.861739,-8.1276595,214652567,secretary@cloynens.com,primary
02670I,SAN ISADOIR,Nodstown South,Boherlahan,Cashel,Co. Tipperary,Tipperary,Tipperary (Sr) County Council,Mary,O'Donnell,E25KX75,52.5722306,-7.8932312,50441184,boherlahanns@gmail.com,primary
02707F,SUNDAYS WELL G N S,Strawberry Hill,Blarney Road,Cork,NULL,Cork,Cork City Council,Liz,Horgan,T23K704,51.9008895,-8.5003618,214396632,sundayswellgns@gmail.com,primary
02745N,TALLONSTOWN N S,Tallanstown,Dundalk,Co. Louth,NULL,Louth,Louth County Council,Patricia,Smyth,A91YX04,53.9194496,-6.5497066,429374419,tallanstownns@gmail.com,primary
02793B,S N MULLACH BUI,Castletowncooley,Riverstown,Co. Louth,NULL,Louth,Louth County Council,Maireád,Egan,A91H319,54.0052896,-6.2237442,429376202,mullaghbuoyns@gmail.com,primary
02803B,BANTEER N S,Banteer,Co. Cork,NULL,NULL,Cork,Cork County Council,Jane,Daly,P51TK64,52.1311925,-8.8907678,2956262,office@banteerns.ie,primary
02813E,S N SHEANAIN,Corgrigg,Foynes,Co. Limerick,NULL,Limerick,Limerick County Council,Alan,Kilcoyne,V94NX50,52.6105253,-9.1051123,6965117,stsenans@yahoo.ie,primary
02872U,St. Mary's National School,Lamb's Cross,Sandyford,Dublin 18,NULL,Dublin,Dun Laoghaire Rathdown,Fergus,Lyons,D18XV90,53.2641698,-6.2294117,12954173,saintmarys@eircom.net,primary
02889O,S N AN CHLAIS MHOR,Clashmore,Co. Waterford,NULL,NULL,Waterford,Waterford County Council,Yvonne,Uí Fhlaithimhín,P36ET78,52.0861865,-7.5619837,2496404,clashmorens19@gmail.com,primary
02905J,S N NAOMH PADRAIG,Baconstown,Enfield,Co. Meath,NULL,Meath,Meath County Council,Cathal,Fenton,A83F863,53.444229,-6.803101,469541115,baconstownns@gmail.com,primary
02912G,SCOIL NA GCOILLINI,Meelick,Swinford,Co. Mayo,NULL,Mayo,Mayo County Council,Deborah,Convey,F12TW53,53.9224386,-9.0187502,949384214,meelickns1@gmail.com,primary
03132I,S N SLIABH A MHADRA,Ballyduff,Tralee,Co. Kerry,NULL,Kerry,Kerry County Council,Breda,O'Dwyer,V92WF40,52.4606155,-9.7163034,667131742,slmhadrans@gmail.com,primary
03220F,MERCY PRIMARY SCHOOL,Chapel Lane,Birr,Co. Offaly,NULL,Offaly,Offaly County Council,Barbara,Hanamy,R42TX89,53.0931765,-7.9092669,579120259,principalmercyps@gmail.com,primary
03275H,NEWTOWN N S,Newtown,Ardee,Co. Meath,NULL,Meath,Meath County Council,Bridget,O'Sullivan,A92PW80,53.8203016,-6.6079867,469053322,newtownnsardee92@gmail.com,primary
03294L,S N CAISEAL NA GCORR,Gort a Choirce,Leitir Ceanainn,Co. Dhún na nGall,NULL,Donegal,Donegal County Council,Róisín,Ní Chuireáin,F92YY24,55.1200955,-8.1332033,749165129,scoilchaisealnagcorr@gmail.com,primary
03359N,BALLYROAN B N S,Ballyroan Road,Rathfarnham,Dublin 16,NULL,Dublin,South Dublin County Council,Desmond,Morris,D16YX54,53.2863418,-6.2944063,14931805,secretary@ballyroanbns.ie,primary
03607G,S N AINDREIS NAOFA,Leitrim,Kylebrack East,Loughrea,Co. Galway,Galway,Galway County Council,Francis,Duggan,H62KN83,53.1399803,-8.4664135,91847470,leitrimschool@gmail.com,primary
03633H,SCOIL NÁISIÚNTA BHANTIARNA LOURDES,Hospital Hill,Bunclody,Enniscorthy,Co. Wexford,Wexford,Wexford County Council,Tomás,Moriarty,Y21R820,52.6550857,-6.652193,539377380,secretarybunclodyns@gmail.com,primary
03704E,S N SEAN BAILE MOR,Main Street,Shanballymore,Co. Cork,NULL,Cork,Cork County Council,John,Walsh,P51VW63,52.2187977,-8.4759914,2225611,shanballymorens@gmail.com,primary
03787L,WALSHESTOWN N S,Walshestown,Clogherhead,Co. Louth,NULL,Louth,Louth County Council,Anne,Marie Swinburne,A92CD53,53.8060399,-6.3076997,416852285,walshestownschool@gmail.com,primary
03898U,TOONAGH N S,Fountain,Ennis,Co. Clare,NULL,Clare,Clare County Council,Gearóid,Roughan.,V95DF88,52.8903185,-9.0347438,656820143,toonaghschool@gmail.com,primary
03917V,NAOMH PADRAIG BOYS,Cambridge Road,Ringsend,Dublin 4,NULL,Dublin,Dublin City Council,Ian,Lane,D04AP98,53.3433918,-6.2253548,16606825,ringsendbns@gmail.com,primary
03924S,OWENBEG N S,Owenbeg,Culleens,Co. Sligo,NULL,Sligo,Sligo County Council,Aileen,Donagher McGowan,F26VK13,54.286325,-8.9623692,9649253,owenbegns@gmail.com,primary
03928D,MULLACH N S,Mullagh,Ennis,Co. Clare,NULL,Clare,Clare County Council,Áine,Sexton,V95HN22,52.7996527,-9.4200258,657087472,principal@mullaghschool.ie,primary
03936C,S N AN CHUIL,Coole,Mullingar,Co. Westmeath,NULL,Westmeath,Westmeath County Council,Orla,Oxley,N91E3FN,53.6992601,-7.3666546,449661669,coolescoilmhuire@gmail.com,primary
04005G,S N NAOMH PEADAR,Pouldine,Thurles,Co. Tipperary,NULL,Tipperary,Tipperary (Nr) County Council,Ann,Marie Carroll,E41FY66,52.6801064,-7.8044421,50444439,office@moycarkeyns.ie,primary
04054T,BALLINDANGAN MIXED N S,Ballindangan,Mitchelstown,Co. Cork,NULL,Cork,Cork County Council,Peter,Dineen,P67EW90,52.236282,-8.336495,2584654,ballindangan.ias@eircom.net,primary
04062S,LISTOWEL PRESENTATION PRIMARY,Ballybunion Road,Listowel,Co. Kerry,NULL,Kerry,Kerry County Council,Joan,Mulvihill,V31CX52,52.4486895,-9.4961491,6822294,office@ppslistowel.ie,primary
04067F,CONVENT OF MERCY,Church Road,Newport,Co. Tipperary,NULL,Tipperary,Tipperary (Nr) County Council,Miriam,Foley,V94X7F9,51.5897815,-2.9762643,61378622,newportconvent.ias@eircom.net,primary
04075E,MOYGLASS N S,Moyglass,Fethard,Co. Tipperary,NULL,Tipperary,Tipperary (Sr) County Council,Michael,Hayes,E91VY15,52.5277526,-7.7081838,526131885,adminmoyglassns@gmail.com,primary
04077I,SCOIL NAIS BHRIDE,Grange,Tullow,Co. Carlow,NULL,Carlow,Carlow County Council,Leah,Mulhall,R93FX22,52.837568,-6.7821554,599163881,grangens@ymail.com,primary
04118T,LEAMLARA MIXED N S,Leamlara,Co. Cork,NULL,NULL,Cork,Cork County Council,Shane,Fennessy,T56NH57,51.96986,-8.2639146,214642430,leamlara.n.s@gmail.com,primary
04152T,S N CNOC AN BHILE,Knockavilla,Innishannon,Co. Cork,NULL,Cork,Cork County Council,Orla,O'Shea,T12F981,51.8008055,-8.6848101,214775662,knockavillaschool@gmail.com,primary
04186N,S N BHIORAINN,Berrings,Co. Cork,NULL,NULL,Cork,Cork County Council,Liam,Walsh,P12FX45,51.9374329,-8.6974398,217332101,berringsns.ias@eircom.net,primary
04210H,KILMESSAN MXD N S,Kilmessan,Co. Meath,NULL,NULL,Meath,Meath County Council,Brian,Mullins,C15TE28,53.5607122,-6.6626897,469025532,info@kilmessanns.ie,primary
04230N,SCOIL NAOMH EOIN,Ballincurrig,Cork,NULL,NULL,Cork,Cork County Council,Paul,Davis,T56KR89,51.9892109,-8.228013,214642222,principalballincurrigns@gmail.com,primary
04442F,KYLE N S,Kyle,Youghal,Co. Cork,NULL,Cork,Cork County Council,Joanna,Kelly,P36WR52,51.9531544,-7.9419843,2495198,kylens.ias@eircom.net,primary
04466T,BALLYMARTIN N S,Manister,Croom,Co Limerick,NULL,Limerick,Limerick County Council,Peter,Lavin,V35EK54,52.45026,-8.74915,61397220,manister.ns@hotmail.com,primary
04469C,S N FIODHNACH,Feenagh,Kilmallock,Co. Limerick,NULL,Limerick,Limerick County Council,Diarmuid,O'Connor,V35FN44,52.3901188,-8.8801067,6385225,feenaghns@eircom.net,primary
04487E,S N NAITHI NAOFA,Achonry,Tubbercurry,Co. Sligo,NULL,Sligo,Sligo County Council,Cora,Kievlehan,F91WF65,54.0801158,-8.6606961,719184395,achonryns.ias@eircom.net,primary
04506F,SCOIL NA NGASUR,Maree Road,Oranmore,Co. Galway,NULL,Galway,Galway County Council,Maeve,Meeneghan,H91Y763,53.2640706,-8.9309954,91790312,info@oranmoreboysns.ie,primary
04515G,SCOIL AN LINBH IOSA,St Francis Street,Galway,NULL,NULL,Galway,Galway City Council,Norena,Jordan,H91RX32,53.275753,-9.0537997,91566452,info@mercyprimary.ie,primary
04548V,SCOIL SEANAIN NAOFA,Clonlara,Co. Clare,NULL,NULL,Clare,Clare County Council,Donnchadh,Kelleher,V94FP92,52.7242526,-8.5543906,61354299,office@clonlarans.ie,primary
04578H,BALLYVONGANE MIXED N S,Ballyvongane,"Aghinagh,",Coachford,NULL,Cork,Cork County Council,Liam,Buckley,P12YD30,51.9319823,-8.8591582,2648188,ballyvonganens@gmail.com,primary
04620D,THOMASTOWN N S,Ardobireen,Thomastown,Golden,Co. Tipperary,Tipperary,Tipperary (Sr) County Council,Marie,Donovan,E25F840,52.4934094,-8.0190559,6272471,thomastownnationalschool@gmail.com,primary
04796R,BRACKLOON N S,Brackloon,Westport,Co. Mayo,NULL,Mayo,Mayo County Council,Brendan,Tunney,F28E8Y9,53.7545927,-9.5641037,9821902,brackloonnationalschool@gmail.com,primary
04800F,ROOSKEY N S,Rooskey,Carrick-on-Shannon,Co. Roscommon,NULL,Roscommon,Roscommon County Council,Mellory,Tighe,N41DH36,53.8322125,-7.927312,719638774,rooskeyns@gmail.com,primary
04802J,CLOONACOOL N S,Cloonacool,Tubbercurry,Co. Sligo,NULL,Sligo,Sligo County Council,Deirdre,Kelly,F91TV07,54.100753,-8.7778571,719185709,stmichaelsns9@gmail.com,primary
04809A,SCOIL AN AINGIL CHOIMHEADAI,"An Céideadh,",Ailt An Chorráin,Leitir Ceanainn,Co Dhún na nGall,Donegal,Donegal County Council,Maire,Ní Chómhaill,F94W084,54.9973526,-8.4185728,749542268,saac.ceideadh@gmail.com,primary
04919H,CRATLOE N S,Cratloe,Co. Clare,NULL,NULL,Clare,Clare County Council,Dr,Susan Frawley,V95V596,52.6995085,-8.7554178,61357111,cratloenationalschool@gmail.com,primary
04953H,BALLYHASS MIXED N S,Ballyhass,Cecilstown,Co. Cork,NULL,Cork,Cork County Council,Elizabeth,Ronayne,P51K590,52.1741854,-8.804743,2227937,ballyhassmixedns@gmail.com,primary
04992R,SCOIL AN CROI NAOFA,St Canice's Road,Ballygall,Dublin 11,NULL,Dublin,Dublin City Council,Dermot,Murphy,D11XE17,53.3840933,-6.2738992,18379586,shbns1ballygall@gmail.com,primary
05062A,KELLS PAROCHIAL N S,Navan Road,Kells,Co. Meath,NULL,Meath,Meath County Council,Katie,Mason,A82RK49,53.7246994,-6.8670271,469241308,kellsparochialns@gmail.com,primary
