,Roll Number,Official School Name,Address 1,Address 2,Address 3,Address 4,County,Local Authority,Eircode,Principal Name,Email,Phone,DEIS (Y/N),Gaeltacht Area Location (Y/N),Island Location (Y/N),Fee Paying School (Y/N),Pupil Attendance Type,School Gender - Post Primary,Irish Classification - Post Primary,Post Primary School Type,Ethos/Religion,FEMALE,MALE,TOTAL (2019-20),School,Unnamed: 0,FullAddress,Latitude,Longitude
10,60092U,Clonkeen College,Clonkeen Road,Blackrock,Co Dublin,,Dublin,Dun Laoghaire Rathdown,A94P206,MR. EDWARD MELLY,reception@clonkeencollege.ie,012892709,N,N,N,N,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,,575.0,575,"Clonkeen College, Clonkeen Road, Blackrock",10,"Clonkeen Rd, Deansgrange, Blackrock, Co. Dublin, Ireland",53.2698715,-6.1571744
11,60100Q,Castleknock College,College Rd,Castleknock,Dublin 15,,Dublin,Fingal County Council,D15PD95,MR. CHRISTOPHER WILLIAM KINDER,admissions@castleknockcollege.ie,018213051,N,N,N,Y,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,,701.0,701,"Castleknock College, College Rd, Castleknock",11,"College Rd, Castleknock, Dublin, Co. Dublin, D15 PD95, Ireland",53.36828149999999,-6.3683856
12,60120W,Mount Sackville Secondary School,Tower Road,"Chapelizod,",Dublin 20,,Dublin,Fingal County Council,D20WP68,MRS. EILEEN HIGGINS,info@mountsackville.ie,018213317,N,N,N,Y,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,656.0,,656,"Mount Sackville Secondary School, Tower Road, Chapelizod,",12,"Sisters of St. Joseph of Cluny, Chapelizod, Castleknock, Dublin 20, Co. Dublin, Ireland",53.35992599999999,-6.358111999999999
13,60121B,Moyle Park College,Clondalkin,Dublin 22,,,Dublin,South Dublin County Council,D22V072,MS. NIAMH CAHALANE,info@moyleparkcollege.com,014574837,N,N,N,N,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,,738.0,738,"Moyle Park College, Clondalkin, Dublin 22",13,"Convent Rd, Clondalkin, Dublin 22, Ireland",53.3202794,-6.397350599999999
14,60122D,Coláiste Bríde,New Road,Clondalkin,Dublin 22,,Dublin,South Dublin County Council,D22C6Y2,MISS MARIE THERESE KILMARTIN,info@colaistebride.com,014591158,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,959.0,,959,"Coláiste Bríde, New Road, Clondalkin",14,"22 New Rd, Bushelloaf, Clondalkin, Co. Dublin, Ireland",53.3204526,-6.3931241
15,60130C,Loreto Abbey Secondary School,Dalkey,Co Dublin,,,Dublin,Dun Laoghaire Rathdown,A96YC81,MR. ROBERT DUNNE,office@loretoabbeydalkey.ie,012718900,N,N,N,Y,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,653.0,,653,"Loreto Abbey Secondary School, Dalkey, Co Dublin",15,"Loreto Ave, Harbour Rd, Dalkey, Co. Dublin, A96 YC81, Ireland",53.2795181,-6.099600199999999
16,60140F,Mount Anville Secondary School,Mount Anville Road,Dublin 14,,,Dublin,Dun Laoghaire Rathdown,D14A8P3,MISS MARY CAFFREY,office@mountanville.ie,012885313,N,N,N,Y,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,698.0,,698,"Mount Anville Secondary School, Mount Anville Road, Dublin 14",16,"14 Mount Anville Rd, Mountanville, Dublin, Ireland",53.2930822,-6.2231361
17,60180R,Christian Brothers College,Monkstown Park,Dun Laoghaire,Co Dublin,,Dublin,Dun Laoghaire Rathdown,A96TF64,MR. GERARD DUFFY,office@cbcmonkstown.ie,012805854,N,N,N,Y,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,,515.0,515,"Christian Brothers College, Monkstown Park, Dun Laoghaire",17,"Mounttown Road Upper, Dún Laoghaire, Dublin, Ireland",53.2899387,-6.1482453
18,60240J,Loreto College Foxrock,Springfield Park,Foxrock,Dublin 18,,Dublin,Dun Laoghaire Rathdown,D18FT21,MRS. BERNADETTE PRENDIVILLE,admin@loretofoxrock.ie,012895637,N,N,N,Y,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,519.0,,519,"Loreto College Foxrock, Springfield Park, Foxrock",18,"Springfield Park, Deansgrange, Dublin 18, D18 FT21, Ireland",53.2724078,-6.1753241
19,60250M,Holy Child Secondary School,Military Road,Killiney,Co. Dublin,,Dublin,Dun Laoghaire Rathdown,A96XP82,MS. CAROLINE MARY O'BRIEN,admin@holychildkilliney.ie,012823120,N,N,N,Y,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,352.0,,352,"Holy Child Secondary School, Military Road, Killiney",19,"Military Rd, Killiney, Co. Dublin, Ireland",53.2531446,-6.114055
20,60260P,St Joseph Of Cluny Secondary School,Ballinclea Road,Killiney,Co. Dublin,,Dublin,Dun Laoghaire Rathdown,A96DK13,MR. BENEDICT GERARD HEALY,office@clunykilliney.ie,012855027,N,N,N,Y,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,252.0,,252,"St Joseph Of Cluny Secondary School, Ballinclea Road, Killiney",20,"Avondale Rd, Ballinclea, Killiney, Co. Dublin, Ireland",53.2708551,-6.124011899999999
21,60261R,St Benildus College,Upper Kilmacud Rd,Stillorgan,Blackrock,Co Dublin,Dublin,Dun Laoghaire Rathdown,A94X886,MRS. MARY P BROHAN,stbenildusoffice@stbenilduscollege.com,012986539,N,N,N,N,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,,807.0,807,"St Benildus College, Upper Kilmacud Rd, Stillorgan",21,"Kilmacud Rd Upper, Stillorgan, Dublin, Ireland",53.2846602,-6.221369699999999
22,60262T,St Laurence College,Loughlinstown,Dublin 18,,,Dublin,Dun Laoghaire Rathdown,D18AK07,MR. WILLIAM REDMOND,info@stlaurencecollege.com,012826930,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Secondary,CATHOLIC,141.0,117.0,258,"St Laurence College, Loughlinstown, Dublin 18",22,"Wyattville Rd, Glenageary, Loughlinstown, Co. Dublin, Ireland",53.2510054,-6.1383621
23,60263V,St Josephs College,Lucan,Co Dublin,,,Dublin,South Dublin County Council,K78VW74,MS. BERNADETTE FITZGERALD,stjosephslucan@gmail.com,016281160,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,884.0,,884,"St Josephs College, Lucan, Co Dublin",23,"Lucan Rd, Esker North, Lucan, Co. Dublin, Ireland",53.35792679999999,-6.440984299999999
24,60264A,Coláiste Phádraig CBS,Roselawn,Lucan,Co. Dublin,,Dublin,South Dublin County Council,K78E927,MR. ANTHONY J BRADY,admin@colaistephadraig.com,016282299,N,N,N,N,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,,538.0,538,"Coláiste Phádraig CBS, Roselawn, Lucan",24,"Roselawn, Ballydowd, Lucan, Co. Dublin, Ireland",53.3568794,-6.432607
25,60272W,The Kings Hospital,Palmerstown,Dublin 20,,,Dublin,South Dublin County Council,D20V256,MR. MARK RONAN,headmaster@thekingshospital.ie,016436500,N,N,N,Y,Mixed,Mixed,No subjects taught through Irish,Secondary,CHURCH OF IRELAND,333.0,377.0,710,"The Kings Hospital, Palmerstown, Dublin 20",25,"Old Lucan Road, Brooklawn, Palmerstown, Co. Dublin, D20 V256, Ireland",53.3588868,-6.387131
26,60290B,St Pauls College,Sybil Hill,Raheny,Dublin,,Dublin,Dublin City Council,D05C673,MR. ML.A. BEHAN,admin@stpaulscollege.ie,018314011,N,N,N,N,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,,591.0,591,"St Pauls College, Sybil Hill, Raheny",26,"Sybil Hill Ave, Clontarf, Dublin 5, D05 W314, Ireland",53.3730167,-6.1934137
27,60291D,Árdscoil La Salle,Raheny Road,Raheny,Dublin 5,,Dublin,Dublin City Council,D05Y132,MR. COLM MYTHEN,secretary@ardscoillasalle.ie,018480055,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Secondary,CATHOLIC,72.0,94.0,166,"Árdscoil La Salle, Raheny Road, Raheny",27,"Raheny Rd, Donaghmede, Raheny, Co. Dublin, D05 Y132, Ireland",53.388932,-6.169582000000001
28,60300B,Manor House School,Watermill Road,Raheny,Dublin 5,,Dublin,Dublin City Council,D05R827,MISS MARY T O'NEILL,deputyprincipal@manorhouseschool.com,018316782,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,688.0,,688,"Manor House School, Watermill Road, Raheny",28,"Watermill Rd, Raheny - St. Assam, Dublin, Ireland",53.3785542,-6.1729941
29,60310E,De La Salle College,Upper Churchtown Road,Churchtown,Dublin 14,,Dublin,Dun Laoghaire Rathdown,D14A0T9,MISS SIOBHAN FOSTER,office@delasallecollege.com,012981067,N,N,N,N,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,,320.0,320,"De La Salle College, Upper Churchtown Road, Churchtown",29,"Churchtown Rd Upper, Churchtown Upper, Dublin, Ireland",53.2966942,-6.264219799999999
30,60320H,St Columba's College,Whitechurch,Dublin 16,,,Dublin,South Dublin County Council,D16CH92,MARK TREMAYNE BOOBBYER,admin@stcolumbas.ie,014906791,N,N,N,Y,Mixed,Mixed,No subjects taught through Irish,Secondary,CHURCH OF IRELAND,149.0,184.0,333,"St Columba's College, Whitechurch, Dublin 16",30,"Kilmashogue Ln, Whitechurch, Dublin 16, D16 CH92, Ireland",53.2665156,-6.268810600000001
31,60321J,Rockbrook Park School,Edmondstown Road,Rathfarnham,Dublin 16,,Dublin,South Dublin County Council,D16P897,MR. MARK HAMILTON,admin@rockbrook.ie,014933204,N,N,N,Y,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,,163.0,163,"Rockbrook Park School, Edmondstown Road, Rathfarnham",31,"16 Edmondstown Rd, Rathfarnham, Dublin 16, Ireland",53.262671,-6.300305
32,60340N,Loreto High School,Beaufort,Grange Rd,Rathfarnham,Dublin 14,Dublin,South Dublin County Council,D14E521,MS. AOIFE KAVANAGH,info@loretohighschool.com,014933251,N,N,N,Y,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,660.0,,660,"Loreto High School, Beaufort, Grange Rd",32,"Grange Rd, Rathfarnham, Dublin, Ireland",53.2921079,-6.283208699999999
33,60341P,Sancta Maria College,Ballyroan Crescent,Rathfarnham,Dublin 16,,Dublin,South Dublin County Council,D16V389,MISS GERALDINE KENNEDY,info@sanctamariacollege.com,014934887,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,549.0,,549,"Sancta Maria College, Ballyroan Crescent, Rathfarnham",33,"Sancta Maria College, Ballyroan Cres, Templeogue, Dublin 16, Ireland",53.2848024,-6.3028515
34,60342R,Coláiste Éanna,Hillside Park,Ballyroan Road,Rathfarnham,Dublin 16,Dublin,South Dublin County Council,D16E248,MR. SEAN G. O'MURCHU,secretary@colaisteeanna.ie,014931767,N,N,N,N,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,,601.0,601,"Coláiste Éanna, Hillside Park, Ballyroan Road",34,"Hillside Park, Ballyroan Road, Ballyroan, Rathfarnham, Dublin 16, D16 E248, Ireland",53.2859957,-6.2962697
35,60343T,St Joseph's Secondary School,Convent Lane,Rush,Co. Dublin,,Dublin,Fingal County Council,K56A308,MRS. PATRICIA HAYDEN,office@stjosephsrush.ie,018437534,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Secondary,CATHOLIC,348.0,445.0,793,"St Joseph's Secondary School, Convent Lane, Rush",35,"Convent Ln, Rush, Co. Dublin, Ireland",53.5201959,-6.0910681
36,60361V,St Raphaela's Secondary School,St. Raphaela's Road,Stillorgan,Blackrock,Co. Dublin,Dublin,Dun Laoghaire Rathdown,A94NT29,Eileen O' Donnell,secretary@straphaelas.ie,012888730,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,569.0,,569,"St Raphaela's Secondary School, St. Raphaela's Road, Stillorgan",36,"St Raphaela's Rd, Kilmacud, Dublin, Ireland",53.2819004,-6.2092985
37,60370W,St. Fintan's High School,Dublin Road,Sutton,Dublin 13,,Dublin,Fingal County Council,D13HN59,MISS MARY FOX,info@stfintanshs.ie,018324632,N,N,N,N,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,,704.0,704,"St. Fintan's High School, Dublin Road, Sutton",37,"13 Dublin Rd, Burrow, Sutton, Co. Dublin, D13 HN59, Ireland",53.3892178,-6.117936299999999
38,60380C,Santa Sabina Dominican College,Greenfield Road,Sutton,Dublin 13,,Dublin,Fingal County Council,D13RD80,MS. JOYCE KAVANAGH,admin@santasabina.ie,018322200,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,669.0,,669,"Santa Sabina Dominican College, Greenfield Road, Sutton",38,"Santa Sabina, Greenfield Rd, Howth Demesne, Dublin, Ireland",53.3874264,-6.100403699999999
39,60381E,Sutton Park School,St Fintans Road,Sutton,Dublin 13,,Dublin,Fingal County Council,D13PY92,MR. RONAN WALSH,info@sps.ie,018322940,N,N,N,Y,Mixed,Mixed,No subjects taught through Irish,Secondary,CHURCH OF IRELAND,172.0,199.0,371,"Sutton Park School, St Fintans Road, Sutton",39,"St Fintan's Road, Sutton, Dublin 13, D13 PY92, Ireland",53.3766884,-6.0931013
40,60383I,Coláiste Choilm,Dublin Road,Swords,Co Dublin,,Dublin,Fingal County Council,K67KW30,MR. CATHAL FRANCIS BOYLE,info@colaistechoilmswords.ie,018401420,N,N,N,N,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,,550.0,550,"Coláiste Choilm, Dublin Road, Swords",40,"Dublin Rd Dublin Rd, Miltonsfields, Swords, Co. Dublin, K67 CX99, Ireland",53.45253109999999,-6.2249102
41,60390F,St Josephs C.B.S.,Merville Ave,Fairview,Dublin 3,,Dublin,Dublin City Council,D03H524,Mr Gerard Cullen,info@stjosephsfairview.ie,018339779,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Secondary,CATHOLIC,,258.0,258,"St Josephs C.B.S., Merville Ave, Fairview",41,"Merville Ave, Fairview, Dublin 3, D03 H524, Ireland",53.36393899999999,-6.233694
42,60400F,St Vincents C.B.S. Glasnevin,Finglas Road,Glasnevin,Dublin 11,,Dublin,Dublin City Council,D11XV05,MR. JOHN G HORAN,mq@stvincentsd11.ie,018304375,Y,N,N,N,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,,362.0,362,"St Vincents C.B.S. Glasnevin, Finglas Road, Glasnevin",42,"Finglas Rd, Glasnevin, Dublin 11, D11 PA00, Ireland",53.3682916,-6.2749443
43,60410I,C.B.S. James Street,James's Street,Dublin 8,,,Dublin,Dublin City Council,D08K338,MR. PAUL N MAC ENTEE,jamesstcbs123@outlook.ie,014547756,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Secondary,CATHOLIC,50.0,102.0,152,"C.B.S. James Street, James's Street, Dublin 8",43,"8 Basin View, Saint Catherine's, Dublin 8, D08 H2H9, Ireland",53.340441,-6.289313399999999
44,60420L,Árdscoil Rís,Griffith Avenue,Marino,Dublin 9,,Dublin,Dublin City Council,D09AK30,MR. MARK NEVILLE,admin@ardscoilris.com,018332633,N,N,N,N,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,,541.0,541,"Árdscoil Rís, Griffith Avenue, Marino",44,"Griffith Ave, Grace Park, Dublin 09, Ireland",53.3692639,-6.228192
45,60430O,St Pauls C.B.S.,Christian Brothers,Nth Brunswick Street,Dublin 7,,Dublin,Dublin City Council,D07VF57,MR. PATRICK MCCORMACK,principal@thebrunner.ie,018720781,Y,N,N,N,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,,213.0,213,"St Pauls C.B.S., Christian Brothers, Nth Brunswick Street",45,"Saint Paul's Christian Brother's School Secondary School, Brunswick St N, Smithfield, Dublin 7, Ireland",53.3505534,-6.275816799999999
46,60440R,O'Connell School,North Richmond Street,Dublin 1,,,Dublin,Dublin City Council,D01Y4A9,MR. LIAM NEWELL,secretary@oconnellschool.ie,018748307,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Secondary,CATHOLIC,,206.0,206,"O'Connell School, North Richmond Street, Dublin 1",46,"13 Richmond St N, Drumcondra, Dublin, D01 V1K2, Ireland",53.3584422,-6.2502078
47,60450U,Coláiste Mhuire,Bothar Rath Tó,Cabrach,Baile Átha Cliath 7,,Dublin,Dublin City Council,D07CY97,MR. OISIN MAC EOIN,runai@colaistemhuire.ie,018688996,N,N,N,N,Day,Mixed,All pupils taught all subjects through Irish,Secondary,CATHOLIC,147.0,137.0,284,"Coláiste Mhuire, Bothar Rath Tó, Cabrach",47,"7 Ratoath Rd, Cabra West, Dublin, D07 CY97, Ireland",53.3621764,-6.2979091
48,60470D,"Christian Brothers, Synge St.",Synge Street CBS Secondary School,Synge Street,Dublin 8,Dublin,Dublin,Dublin City Council,D08R283,MS. CLARE CATTERSON,Office@syngestreet.com,014783998,Y,N,N,N,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,,263.0,263,"Christian Brothers, Synge St., Synge Street CBS Secondary School, Synge Street",48,"Synge St, Saint Kevin's, Dublin, Ireland",53.3336353,-6.2675154
49,60471F,St. David's C.B.S.,Artane,Dublin 5,,,Dublin,Dublin City Council,D05W667,MR. PADRAIC KAVANAGH,info@stdavidscbs.ie,018315322,Y,N,N,N,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,,508.0,508,"St. David's C.B.S., Artane, Dublin 5",49,"St David's, Beaumont, Dublin 5, D05 Y0X3, Ireland",53.38141359999999,-6.2170366
50,60480G,Meanscoil Iognáid Rís,Long Mile Road,Walkinstown,Dublin 12,,Dublin,Dublin City Council,D12K682,MR. JOHN J DEVILLY,info@drimnaghcastle.ie,014518316,Y,N,N,N,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,,579.0,579,"Meanscoil Iognáid Rís, Long Mile Road, Walkinstown",50,"Long Mile Rd, Walkinstown, Dublin 12, Ireland",53.3243324,-6.3309735
51,60481I,St. Aidan's C.B.S.,Collins Avenue Ext,Whitehall,Dublin 9,,Dublin,Dublin City Council,D09XT54,MR. THOMAS SHANNON,secretary@staidanscbs.ie,018377587,N,N,N,N,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,,721.0,721,"St. Aidan's C.B.S., Collins Avenue Ext, Whitehall",51,"Collins Ave, Whitehall, Dublin, Ireland",53.3846085,-6.251766399999999
52,60490J,C.B.S. Westland Row,Westland Row,Dublin 2,,,Dublin,Dublin City Council,D02YX80,MS. KATE BYRNE,info@cbswestlandrow.ie,016614143,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Secondary,CATHOLIC,56.0,79.0,135,"C.B.S. Westland Row, Westland Row, Dublin 2",52,"South Cumberland St, Dublin 2, Ireland",53.342825,-6.248949
53,60491L,St Declan's College,Nephin Road,Cabra,Dublin 7,,Dublin,Dublin City Council,D07NN63,MR. BRIAN AVERY,info@stdeclanscollege.ie,018380357,N,N,N,N,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,,651.0,651,"St Declan's College, Nephin Road, Cabra",53,"Nephin Rd, Cabra West, Dublin 7, Ireland",53.3665733,-6.3031375
54,60500J,Marian College,Ballsbridge,Dublin 4,,,Dublin,Dublin City Council,D04W268,MISS OONAGH CELINE MC CAUL,omccaul@mariancollege.ie,016684036,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Secondary,CATHOLIC,,345.0,345,"Marian College, Ballsbridge, Dublin 4",54,"4 Lansdowne Rd, Dublin Southside, Co. Dublin, Ireland",53.33303429999999,-6.2270398
55,60510M,St Johns College De La Salle,Le Fanu Rd,Ballyfermot,Dublin 10,,Dublin,Dublin City Council,D10X592,MS. ANN MARIE LEONARD,info@stjohnsdls.ie,016264943,Y,N,N,N,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,,282.0,282,"St Johns College De La Salle, Le Fanu Rd, Ballyfermot",55,"10 Le Fanu Rd, Drumfinn, Dublin, Ireland",53.3446958,-6.3542329
56,60511O,Beneavin De La Salle College,Beneavin Road,Finglas,Dublin,,Dublin,Dublin City Council,D11NH7E,MS. AIDEEN CASSIDY,beneavinprincipal@gmail.com,018341410,Y,N,N,N,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,,509.0,509,"Beneavin De La Salle College, Beneavin Road, Finglas",56,"11 Beneavin Rd, Finglas East, Dublin, Co. Dublin, 11, Ireland",53.3894011,-6.286722999999999
57,60520P,Belvedere College S.J,6 Great Denmark Street,Dublin 1,,,Dublin,Dublin City Council,D01TK25,MR. GERRY FOLEY,dreddy@belvederecollege.ie,018586600,N,N,N,Y,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,,1000.0,1000,"Belvedere College S.J, 6 Great Denmark Street, Dublin 1",57,"6 Great Denmark Street, Rotunda, Dublin 1, Ireland",53.355811,-6.262494999999999
58,60530S,Gonzaga College,Sandford Road,Ranelagh,Dublin,,Dublin,Dublin City Council,D06KF95,MR. DAMON MCCAUL,headmaster@gonzaga.ie,014972931,N,N,N,Y,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,,555.0,555,"Gonzaga College, Sandford Road, Ranelagh",58,"Gonzaga College SJ, Sandford Road, (via Sandford Close or Park Lane), Ranelagh, Dublin, D06 KF95, Ireland",53.3169236,-6.2492744
59,60540V,Catholic University School,89 Lower Leeson Street,Dublin 2,,,Dublin,Dublin City Council,D02KC81,MR. THOMAS BYRNE,office@cus.ie,017756800,N,N,N,Y,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,,510.0,510,"Catholic University School, 89 Lower Leeson Street, Dublin 2",59,"89 Leeson Street Lower, Saint Peter's, Dublin 2, D02 KC81, Ireland",53.3352708,-6.2558832
60,60550B,Chanel College,Coolock Village,Malahide Road,Dublin 5,,Dublin,Dublin City Council,D05EY86,MR. DARA GILL,chaneloffice@chanelcollege.ie,018480655,Y,N,N,N,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,,569.0,569,"Chanel College, Coolock Village, Malahide Road",60,"Coolock Village, Malahide Rd, Kilmore, Dublin, D05 EY86, Ireland",53.38784399999999,-6.204044
61,60560E,St Marys College,73-79 Lower Rathmines Road,Dublin 6,,,Dublin,Dublin City Council,D06CH79,MR. DENIS MURPHY,Isabellekelly@stmarys.ie,014995700,N,N,N,Y,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,,429.0,429,"St Marys College, 73-79 Lower Rathmines Road, Dublin 6",61,"73-79 Rathmines Rd Lower, Rathmines, Dublin 6, D06 CH79, Ireland",53.3274498,-6.2672497
62,60561G,St Michaels College,Ailesbury Road,Dublin 4,,,Dublin,South Dublin County Council,D04NC59,MR. T M KELLEHER,tkelleherl@stmichaelscollege.com,012189400,N,N,N,Y,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,,664.0,664,"St Michaels College, Ailesbury Road, Dublin 4",62,"Ailesbury Rd, Dublin 4, D04 A373, Ireland",53.32000189999999,-6.2167167
