,Roll Number,Official Name,Address (Line 1),Address (Line 2),Address (Line 3),Address (Line 4),County Description,Local Authority Description,Phone No.,Principal Name,Email,Eircode,Gaeltacht Indicator (Y/N),DEIS (Y/N),Island (Y/N),Irish Classification Description,Ethos Description,Female,Male,Total,School,FullAddress,Latitude,Longitude
14,00851C,PRESENTATION CONVENT,Ballymakenny Road,Drogheda,Co. Louth,,Louth,Louth County Council,419837119,Nora Molloy,presentationprimary@yahoo.com,A92E296,N,Y,N,No subjects through Irish,Catholic,282.0,,282,"PRESENTATION CONVENT, Ballymakenny Road, Drogheda","Ballymakenny Rd, Greenbatter, Drogheda, Co. Louth, Ireland",53.7297495,-6.343637200000001
15,00856M,SCOIL NAOMH MICHEAL,St. Mel's Road,Longford,,,Longford,Longford County Council,433345536,Nora Horan,stmichaelsbns@gmail.com,N39AX75,N,Y,N,No subjects through Irish,Catholic,,236.0,236,"SCOIL NAOMH MICHEAL, St. Mel's Road, Longford","St Mel's Rd, Deanscurragh, Longford, Ireland",53.7294138,-7.7964324
16,00860D,FORGNEY N S,Cloncallow,Ballymahon,Co. Longford,,Longford,Longford County Council,906452659,Adrian Coughlan,forgneyschool@gmail.com,N39TW52,N,N,N,No subjects through Irish,Catholic,10.0,9.0,19,"FORGNEY N S, Cloncallow, Ballymahon","Forgney, Collierstown, Co. Longford, Ireland",53.5443953,-7.6988621
17,00883P,AINE NAOFA N S,Fairgreen,Navan,Co. Meath,,Meath,Meath County Council,469023039,Cliodhna O'Bric,office@stannesnavan.ie,C15E208,N,N,N,No subjects through Irish,Catholic,171.0,146.0,317,"AINE NAOFA N S, Fairgreen, Navan","Fair Green, Dillonsland, Navan, Co. Meath, Ireland",53.6514886,-6.6848538
18,00885T,RATOATH JUNIOR N S,Fairyhouse Road,Ratoath,Co. Meath,,Meath,Meath County Council,18256639,Miriam Fox,office@ratoathjuniorns.ie,A85P296,N,N,N,No subjects through Irish,Catholic,179.0,198.0,377,"RATOATH JUNIOR N S, Fairyhouse Road, Ratoath","Ratoath, Jamestown, Ratoath, Co. Meath, Ireland",53.5031276,-6.4662755
19,00892Q,SHANGANAMORE N S,Shanganamore,Athy,Co. Laois,,Laois,Laois County Council,598632315,Pauline Lawlor,shanganamorens87@gmail.com,R14K659,N,N,N,No subjects through Irish,Catholic,68.0,47.0,115,"SHANGANAMORE N S, Shanganamore, Athy","Barrowhouse, Athy, Co. Laois, R14 K695, Ireland",52.95326129999999,-6.9893985
20,00895W,BALLINAKILL MIXED N S,Ballinakill,Portlaoise,Co. Laois,,Laois,Laois County Council,578733393,Caitriona O'Callaghan,ballinakillps@gmail.com,R32TX38,N,N,N,No subjects through Irish,Catholic,44.0,48.0,92,"BALLINAKILL MIXED N S, Ballinakill, Portlaoise","Church St, Ballinakill, Co. Laois, Ireland",52.8777604,-7.308844400000001
21,00934G,PRESENTATION CONVENT (JNR),Harbour Street,Mullingar,Co. Westmeath,,Westmeath,Westmeath County Council,449342166,Bernadette Beddows,adminjnr@presentationmullingar.ie,N91YD83,N,N,N,No subjects through Irish,Catholic,166.0,147.0,313,"PRESENTATION CONVENT (JNR), Harbour Street, Mullingar","Box 8 PO, Harbour St, Commons, Mullingar, Co. Westmeath, Ireland",53.52837599999999,-7.342556999999999
22,00941D,S N BHRIDE,Emper,Ballynacargy,Co. Westmeath,,Westmeath,Westmeath County Council,449373388,Kathryn Keenan,emperns.ias@eircom.net,N91PP71,N,N,N,No subjects through Irish,Catholic,15.0,16.0,31,"S N BHRIDE, Emper, Ballynacargy","Emper, Co. Westmeath, Ireland",53.6030953,-7.583187199999999
23,00973Q,GRANGE CON N S,Grangecon,Dunlavin,Co. Wicklow,,Wicklow,Wicklow County Council,45403111,Linda Dowling (Acting Principal),grangeconns1965@gmail.com,W91TV06,N,N,N,No subjects through Irish,Catholic,12.0,19.0,31,"GRANGE CON N S, Grangecon, Dunlavin","Grangecon Parks, Grangecon, Co. Wicklow, Ireland",52.997873,-6.74315
24,00977B,BALLYCONNELL N S,Ballyconnell,Tullow,Co. Carlow,,Carlow,Carlow County Council,599156226,Mary Cahill,ballyconnellnationalschool@gmail.com,R93VA44,N,N,N,No subjects through Irish,Catholic,81.0,85.0,166,"BALLYCONNELL N S, Ballyconnell, Tullow","Ballyconnell, Cullyleenan, Ballyconnell, Co. Cavan, Ireland",54.1136857,-7.581990599999999
25,00984V,GLENEALY 1 N S,Glenealy,Co. Wicklow,,,Wicklow,Wicklow County Council,40444884,Denise O Brien,secretary@glenealy2ns.com,A67CD78,N,Y,N,No subjects through Irish,Catholic,57.0,63.0,120,"GLENEALY 1 N S, Glenealy, Co. Wicklow","Ballymanus Lower, Glenealy, Co. Wicklow, Ireland",52.9666341,-6.144572900000001
26,01000E,ESKER N S,Esker,Athenry,Co. Galway,,Galway,Galway County Council,91848008,Iomar Burke,eskerschool@gmail.com,H65HY10,N,N,N,No subjects through Irish,Catholic,43.0,60.0,103,"ESKER N S, Esker, Athenry","Esker, Athenry, Co. Galway, Ireland",53.2786183,-8.6816856
27,01013N,SCOIL CROI IOSA,Newcastle Road,Galway,,,Galway,Galway City Council,91525904,Colin Barry,scoilchroiiosa@gmail.com,H91FV48,N,Y,N,No subjects through Irish,Catholic,64.0,64.0,128,"SCOIL CROI IOSA, Newcastle Road, Galway","Presentation Primary School, Newcastle Road, Galway, Ireland",53.27422019999999,-9.0626292
28,01086R,S N POL NAOFA,Church Road,Castlerea,Co. Roscommon,,Roscommon,Roscommon County Council,949620566,Olivia Walsh,boysnscastlerea.ias@gmail.com,F45FK09,N,N,N,No subjects through Irish,Catholic,,70.0,70,"S N POL NAOFA, Church Road, Castlerea","Demesne, Castlerea, Co. Roscommon, Ireland",53.7686571,-8.4924537
29,01116A,BAILE AN CHUILINN N S,Ballinkillen,Muine Bheag,Co. Carlow,,Carlow,Carlow County Council,599775153,Michelle Doorley,bkns.ias@gmail.com,R21Y803,N,N,N,No subjects through Irish,Catholic,61.0,59.0,120,"BAILE AN CHUILINN N S, Ballinkillen, Muine Bheag","Ballinkillin, Ballinkillen, Co. Carlow, Ireland",52.65396,-6.93134
30,01125B,LEITRIM MXD N S,Leitrim Village,Carrick-on-Shannon,Co. Leitrim,,Leitrim,Leitrim County Council,719621205,Richella Majella Kelly,leitrimns@gmail.com,N41EC81,N,N,N,No subjects through Irish,Catholic,96.0,116.0,212,"LEITRIM MXD N S, Leitrim Village, Carrick-on-Shannon","The Dock Arts Centre, St Georges Terrace, Townparks, Carrick-On-Shannon, Co. Leitrim, N41 T2X2, Ireland",53.9450428,-8.096643199999999
31,01170G,S N NA H-AILLE,Westown,Naul,Co. Dublin,,Dublin,Fingal County Council,18413821,Edel McMahon,naulns@eircom.net,K32PX40,N,N,N,No subjects through Irish,Catholic,67.0,72.0,139,"S N NA H-AILLE, Westown, Naul","Westown Ave, Hynestown, Naul Village, Co. Dublin, Ireland",53.5841591,-6.2883621
32,01197D,STRAWBERRY HILL B N S,Blarney Street,Sunday's Well,Cork,,Cork,Cork City Council,214308119,Martina Barry,sundayswellbns@yahoo.ie,T23RW98,N,Y,N,No subjects through Irish,Catholic,,187.0,187,"STRAWBERRY HILL B N S, Blarney Street, Sunday's Well","1 Blarney St, Sunday's Well, Cork, Ireland",51.9008431,-8.5002409
33,01215C,NEWTOWN DUNLECKNEY MXD,Newtown,Muinebheag,Co. Carlow,,Carlow,Carlow County Council,599727299,Maurice Bric,newtowndunleckneyns@gmail.com,R21PP74,N,N,N,No subjects through Irish,Catholic,71.0,75.0,146,"NEWTOWN DUNLECKNEY MXD, Newtown, Muinebheag","11 Main St, Clonegah, Co. Carlow, Ireland",52.72275819999999,-6.8767292
34,01272O,S N CHUAN DOIR,Drombeg,Glandore,Co. Cork,,Cork,Cork County Council,2833796,Norma Whelton,glandorenationalschool@gmail.com,P81VE04,N,N,N,No subjects through Irish,Catholic,35.0,37.0,72,"S N CHUAN DOIR, Drombeg, Glandore","Drombeg, Glandore, Co. Cork, Ireland",51.564569,-9.087379499999999
35,01285A,TIPPERARY JNR BN S,St Michael's Street,Tipperary,,,Tipperary,Tipperary (Sr) County Council,6251913,Siobhan Verdon,stmichaelsjbs@gmail.com,E34HD52,N,N,N,No subjects through Irish,Catholic,,81.0,81,"TIPPERARY JNR BN S, St Michael's Street, Tipperary","31 St Michael's St, Carrownreddy, Co. Tipperary, E34 X788, Ireland",52.4772019,-8.1599787
36,01300Q,ST MICHAELS NATIONAL SCHOOL,Danesfort,Co. Kilkenny,,,Kilkenny,Kilkenny County Council,567727588,Niamh McGrath,danesfortns@gmail.com,R95X527,N,N,N,No subjects through Irish,Catholic,26.0,21.0,47,"ST MICHAELS NATIONAL SCHOOL, Danesfort, Co. Kilkenny","Saint Michael's National School, Pigeonpark, Danesfort, Co. Kilkenny, R95 X527, Ireland",52.5828769,-7.2416512
37,01309L,STACKALLEN N S,Stackallen,Navan,Co. Meath,,Meath,Meath County Council,469024207,Rebekah Rafferty,info@stackallenschool.com,C15Y104,N,N,N,No subjects through Irish,Catholic,98.0,92.0,190,"STACKALLEN N S, Stackallen, Navan","Curniaghanstown, Navan, Co. Meath, Ireland",53.7107563,-6.620925
38,01328P,KILTORMER N S,Kiltormer,Ballinasloe,Co. Galway,,Galway,Galway County Council,909627109,Grainne Dooley,kiltormernsgalway@gmail.com,H53AH28,N,N,N,No subjects through Irish,Catholic,10.0,15.0,25,"KILTORMER N S, Kiltormer, Ballinasloe","Kiltormer, Moaty, Ballinasloe, Co. Galway, Ireland",53.2356206,-8.2743395
39,01356U,KILNALECK MIXED N S,Barrack Road,Kilnaleck,Co. Cavan,,Cavan,Cavan County Council,494336728,Kathleen Tinneny,kilnaleckns1@gmail.com,A82EY42,N,Y,N,No subjects through Irish,Catholic,48.0,49.0,97,"KILNALECK MIXED N S, Barrack Road, Kilnaleck","Barrack Rd, Co. Cavan, Ireland",53.8583069,-7.318051700000001
40,01395H,AGLISH N S,Aglish,Cappoquin,Co. Waterford,,Waterford,Waterford County Council,2496425,Jennie Lynch,aglishnationalschool@gmail.com,P51WA03,N,N,N,No subjects through Irish,Catholic,37.0,60.0,97,"AGLISH N S, Aglish, Cappoquin","Aglish, Cappoquin, Co. Waterford, Ireland",52.0732106,-7.823561099999999
41,01396J,TULLOHA NATIONAL SCHOOL,Bonane,Kenmare,Co. Kerry,,Kerry,Kerry County Council,646641977,Pamela Uí Dhuilleáin,tullohans@gmail.com,V93DW99,N,N,N,No subjects through Irish,Catholic,14.0,25.0,39,"TULLOHA NATIONAL SCHOOL, Bonane, Kenmare","Kenmare, Co. Kerry, Ireland",51.8801017,-9.5835203
42,01415K,RATHOE NS,Rathoe,Co. Carlow,,,Carlow,Carlow County Council,599148786,Bláthnaid McDermott,info@rathoens.com,R93XY18,N,N,N,No subjects through Irish,Catholic,83.0,94.0,177,"RATHOE NS, Rathoe, Co. Carlow","Rathoe National School, Rathtoe, Rathoe, Co. Carlow, Ireland",52.7875272,-6.799755299999999
43,01421F,KILSKYRE MIXED N S,Kilskyre,Kells,Co. Meath,,Meath,Meath County Council,469243947,Ailish McKeown,kilskyrens@gmail.com,A82DH22,N,N,N,No subjects through Irish,Catholic,39.0,49.0,88,"KILSKYRE MIXED N S, Kilskyre, Kells","Kilskyre, Kilskeer, Kells, Co. Meath, Ireland",53.6938579,-6.9959853
44,01434O,S N COLUMCILLE,Tullydonnell,Togher,Drogheda,Co. Louth,Louth,Louth County Council,416852301,Ann Marie Ford,st.colmcilles1@gmail.com,A92TW50,N,N,N,No subjects through Irish,Catholic,83.0,90.0,173,"S N COLUMCILLE, Tullydonnell, Togher","Tullydonnell, Togher, Co. Louth, Ireland",53.838053,-6.3361433
45,01553W,ST. MOCHTA'S NATIONAL SCHOOL,Louth Village,Co. Louth,,,Louth,Louth County Council,429374840,Patrick Martin,louthschool@gmail.com,A91AE79,N,N,N,No subjects through Irish,Catholic,74.0,77.0,151,"ST. MOCHTA'S NATIONAL SCHOOL, Louth Village, Co. Louth","22 Feran Dr, Commons, Louth, A91 DT80, Ireland",53.95012850000001,-6.5435177
46,01554B,BAILE AN PHUSTA N S,Ballapousta,Ardee,Co. Louth,,Louth,Louth County Council,416853966,Peter Dooley,secretary.ballapousta.ns@gmail.com,A92XD53,N,N,N,No subjects through Irish,Catholic,119.0,98.0,217,"BAILE AN PHUSTA N S, Ballapousta, Ardee","Smarmore, Ballapousta, Co. Louth, Ireland",53.8216201,-6.5584044
47,01569O,BALLYCAHILL N S,Ballycahill,Thurles,Co. Tipperary,,Tipperary,Tipperary (Nr) County Council,50422492,Mary Madden,ballycahillns@gmail.com,E41RR68,N,N,N,No subjects through Irish,Catholic,30.0,27.0,57,"BALLYCAHILL N S, Ballycahill, Thurles","Thurles, Co. Tipperary, Ireland",52.6801064,-7.8044421
48,01572D,S N NAOMH PADRAIG,Carrowhill,Drumfries,Co. Donegal,,Donegal,Donegal County Council,749363396,Roisin Walsh,admin@drumfriesschool.com,F93YY19,N,Y,N,No subjects through Irish,Catholic,27.0,37.0,64,"S N NAOMH PADRAIG, Carrowhill, Drumfries","Drumfries, Carroghill, Clonmany, Co. Donegal, Ireland",55.1988576,-7.393373799999999
49,01574H,SCOIL NAOMH IÓSAF,Connaghkinnego,Ballymagan,Buncrana,Co. Donegal,Donegal,Donegal County Council,749362212,Andrea Long,stjoesias@gmail.com,F93HX30,N,Y,N,No subjects through Irish,Catholic,27.0,23.0,50,"SCOIL NAOMH IÓSAF, Connaghkinnego, Ballymagan","Scoil Naomh Iósaf, Connaghkinnego, Connaghkinnagoe, Buncrana, Co. Donegal, Ireland",55.15701,-7.3541386
50,01583I,GLOUNAGUILLAGH N S,Glannagilliagh,Caragh Lake,Killorglin,Co. Kerry,Kerry,Kerry County Council,669769402,Sinead Pigott,glounaguillaghns@gmail.com,V93HX07,N,N,N,No subjects through Irish,Catholic,72.0,66.0,138,"GLOUNAGUILLAGH N S, Glannagilliagh, Caragh Lake","Glounaguillagh National School, Glannagilliagh, Caragh Lake, Co. Kerry, V93 HX07, Ireland",52.0720144,-9.8325634
51,01594N,ST JOHNS,Goldengrove Road,Roscrea,Co. Tipperary,,Tipperary,Tipperary (Nr) County Council,50523903,Mark McLoughlin,scoileoinnaofa@gmail.com,E53N562,N,Y,N,No subjects through Irish,Catholic,95.0,81.0,176,"ST JOHNS, Goldengrove Road, Roscrea","Roscrea, Townparks, Roscrea, Co. Tipperary, Ireland",52.9551789,-7.798469600000001
52,01607T,S N COR NA FOLA B,Cornafulla,Athlone,Co. Roscommon,,Roscommon,Roscommon County Council,906437177,Joan Conway,principal@cornafullans.ie,N37FW74,N,N,N,No subjects through Irish,Catholic,106.0,137.0,243,"S N COR NA FOLA B, Cornafulla, Athlone","Cornafulla House, Cornafulla, Athlone, Co. Roscommon, Ireland",53.3753507,-8.0051352
53,01676P,BALLINDINE B N S,Ballindine,Claremorris,Co. Mayo,,Mayo,Mayo County Council,949364204,Stephen McHugh,ballindineinfo@gmail.com,F12CY64,N,N,N,No subjects through Irish,Catholic,67.0,48.0,115,"BALLINDINE B N S, Ballindine, Claremorris","Unit 2 /3, Claremorris Retail Centre, Ballindine Rd, Lugalisheen South, Claremorris, Co. Mayo, Ireland",53.6728505,-8.9567623
54,01687U,DROMLEIGH N S,Dromleigh,Kilmichael,Macroom,Co. Cork,Cork,Cork County Council,2646212,Áine Ní Bhrollacháin,dromleighns@gmail.com,P12DY26,N,N,N,No subjects through Irish,Catholic,24.0,22.0,46,"DROMLEIGH N S, Dromleigh, Kilmichael","Dromleigh National School, Dromleigh, Macroom, Co. Cork, Ireland",51.8343868,-9.0383537
55,01692N,FIRMOUNT MIXED N S,Firmount,Donoughmore,Co. Cork,,Cork,Cork County Council,217337344,Cristin Ní Shé,info@firmountns.ie,P32TX21,N,N,N,No subjects through Irish,Catholic,65.0,62.0,127,"FIRMOUNT MIXED N S, Firmount, Donoughmore","Firmount, Donoughmore, Co. Cork, Ireland",51.9877808,-8.6979103
56,01711O,S N CILL ROSANTA,Kilrossanty,Kilmacthomas,Co. Waterford,,Waterford,Waterford County Council,51291419,Catherine Dunwoody,kilrossanty.ias@eircom.net,X42XW57,N,N,N,No subjects through Irish,Catholic,59.0,68.0,127,"S N CILL ROSANTA, Kilrossanty, Kilmacthomas","Kilrossanty, Cutteen, Co. Waterford, Ireland",52.1782195,-7.540557
57,01731U,BALLYNACARGY MIXED N S,Ballynacargy,Co. Westmeath,,,Westmeath,Westmeath County Council,449373300,Lorraine Rowan - Deputy Principal,principal.ballynacargyns@gmail.com,N91TW13,N,Y,N,No subjects through Irish,Catholic,28.0,27.0,55,"BALLYNACARGY MIXED N S, Ballynacargy, Co. Westmeath","1 Carrickmore Estate, Moranstown, Ballynacarrigy, Co. Westmeath, N91 FR94, Ireland",53.58504199999999,-7.537257200000001
58,01733B,ARDARA MIXED N S,Back Road,Ardara,Co. Donegal,,Donegal,Donegal County Council,749541539,Laraine Long,woodns2001@gmail.com,F94P279,N,Y,N,No subjects through Irish,Church Of Ireland,10.0,6.0,16,"ARDARA MIXED N S, Back Road, Ardara","Ardara Mixed National School, Back Rd, Ardara, Co. Donegal, Ireland",54.7640527,-8.4113885
59,01782O,S N NAOMH PADRAIG,Barnacleagh,Arklow,Co. Wicklow,,Wicklow,Wicklow County Council,40239602,Catherine McGarry,bcjohnstown@gmail.com,Y14NW50,N,N,N,No subjects through Irish,Catholic,48.0,50.0,98,"S N NAOMH PADRAIG, Barnacleagh, Arklow","Bearna Chle, Arklow, Co. Wicklow, Ireland",52.7982788,-6.1561499
60,01795A,CENTRAL INFS SCHOOL,Marlborough Street,Dublin 1,,,Dublin,Dublin City Council,18788344,Catherine Groves,info@centralmodelinfantschool.ie,D01ER24,N,Y,N,No subjects through Irish,Catholic,84.0,77.0,161,"CENTRAL INFS SCHOOL, Marlborough Street, Dublin 1","Marlborough St, North City, Dublin, Ireland",53.3513517,-6.255823599999999
61,01821V,S N RATH MOR,Rathmore,Naas,Co. Kildare,,Kildare,Kildare County Council,45862145,Lucy Travers,office.rathmorens@gmail.com,W91VK46,N,N,N,No subjects through Irish,Catholic,125.0,157.0,282,"S N RATH MOR, Rathmore, Naas","Rathmore West, Rathmore, Co. Kildare, Ireland",53.2060287,-6.569787799999999
62,01840C,ST CANICE S CONVENT,Rosbercon,New Ross,Co. Wexford,,Wexford,Wexford County Council,51422813,Rachel O'Donnell,stcanicesns@gmail.com,Y34VH61,N,N,N,No subjects through Irish,Catholic,104.0,119.0,223,"ST CANICE S CONVENT, Rosbercon, New Ross","Rosbercon, New Ross, Co. Wexford, Y34 VH61, Ireland",52.3975912,-6.9526612
63,01862M,TIPPERARY G N S,St Michael's Street,Tipperary,,,Tipperary,Tipperary (Sr) County Council,6233527,Íde Mooney,stmichaelsgnsinfo@gmail.com,E34Y098,N,N,N,No subjects through Irish,Catholic,132.0,,132,"TIPPERARY G N S, St Michael's Street, Tipperary","Courtville, St Michael's St, Carrownreddy, Co. Tipperary, Ireland",52.47706849999999,-8.159969300000002
64,01866U,BALLYFORAN MIXED N S,Ballyforan,Ballinasloe,Co. Roscommon,,Roscommon,Roscommon County Council,906622300,Thomas Murray,ballyforanns@gmail.com,H53WN36,N,Y,N,No subjects through Irish,Catholic,35.0,25.0,60,"BALLYFORAN MIXED N S, Ballyforan, Ballinasloe","Ballinasloe Ballyforan Ballinasloe, Ballyforan, Co. Galway, Ireland",53.4697671,-8.2735544
65,01867W,CASTLELYONS B N S,Castlelyons,Co. Cork,,,Cork,Cork County Council,2536220,Chonchubhair de Róiste,castlelyonsns@gmail.com,P61PH66,N,N,N,No subjects through Irish,Catholic,105.0,96.0,201,"CASTLELYONS B N S, Castlelyons, Co. Cork","Castlelyons National School, Ballinvarrig East, Castlelyons, Co. Cork, Ireland",52.0826369,-8.229103199999999
66,02007A,CROAGH NATIONAL SCHOOL,Croagh,Rathkeale,Co. Limerick,,Limerick,Limerick County Council,6964750,Teresa Lawlor,croaghns@outlook.com,V94R7R2,N,N,N,No subjects through Irish,Catholic,37.0,34.0,71,"CROAGH NATIONAL SCHOOL, Croagh, Rathkeale","Ballycannon, Croagh, Co. Limerick, Ireland",52.5343874,-8.8733756
67,02013S,BALLINTOGHER N S,Kingsfort,Ballintogher,Co. Sligo,,Sligo,Sligo County Council,719164939,Nora Kearins,sntreasa@gmail.com,F91DR72,N,N,N,No subjects through Irish,Catholic,35.0,46.0,81,"BALLINTOGHER N S, Kingsfort, Ballintogher","Kingsfort, Ballintogher, Co. Sligo, Ireland",54.2006449,-8.3649676
68,02114B,S N BAILE UI GHIBLIN,Ballygiblin,Mitchelstown,Co. Cork,,Cork,Cork County Council,2524933,Margaret Collins,ballygiblins19@gmail.com,P67PK30,N,N,N,No subjects through Irish,Catholic,81.0,65.0,146,"S N BAILE UI GHIBLIN, Ballygiblin, Mitchelstown","Mitchelstown, Ballinwillin, Mitchelstown, Co. Cork, Ireland",52.2662127,-8.2698863
69,02124E,SCOIL NAIS MOLAISE,Parknakyle,Old Leighlin,Co. Carlow,,Carlow,Carlow County Council,599722166,Mandy Ryan,oldleighlinns@eircom.net,R93NX05,N,N,N,No subjects through Irish,Catholic,52.0,55.0,107,"SCOIL NAIS MOLAISE, Parknakyle, Old Leighlin","Old Leighlin, Co. Carlow, Ireland",52.739728,-7.033688199999999
70,02237R,DUALLA N S,Dualla,Cashel,Co. Tipperary,,Tipperary,Tipperary (Sr) County Council,6262241,John Manley,duallans@gmail.com,E25E288,N,N,N,No subjects through Irish,Catholic,60.0,45.0,105,"DUALLA N S, Dualla, Cashel","Dualla NS, Rathclogh North, Dualla, Co. Tipperary, E25 E288, Ireland",52.5396762,-7.8158601
71,02263S,CROWENSTOWN N S,Crowenstown,Delvin,Co. Westmeath,,Westmeath,Westmeath County Council,449664585,Dympna Comiskey,stpatsns@yahoo.ie,N91X7DV,N,N,N,No subjects through Irish,Catholic,6.0,18.0,24,"CROWENSTOWN N S, Crowenstown, Delvin","Crowenstown House, Crowinstown Great, Delvin, Co. Westmeath, Ireland",53.6112835,-7.037031799999999
