,amenity_id,lattitude,longitutude,amenity,Distance,Score,Amenity_Group
16,Act16,52.0889628,-7.6172691,360 Cookhouse,,,"Covid Safety Charter,Food and Drink,Restaurant,Pubs and Bar"
17,Act17,53.3493830372358,-6.2601700553123,365 Chauffeur Drive,,,"Activity Operator,Tour"
18,Act18,53.34054,-6.258755,37 Dawson Street,,,"Food and Drink,Restaurant,Pubs and Bar,Vegetarian"
19,Act19,53.343801,-6.269701,5 Day Celtic Rocker Tour - Shamrocker Adventures,,,"Activity Operator,Tour"
20,Act20,54.9838630279562,-8.43079226026218,5 Day Fishing-Fly Fishing or Sea Angling,,,"Fishing,Angling"
21,Act21,53.343801,-6.269701,5 Day Giant's Rocker Tour - Shamrocker Adventures,,,"Activity Operator,Tour"
22,Act22,51.8993312,-8.4755582,53 Degrees North,,,"Shopping,Shopping Centres and Department Store,Food Shops"
23,Act23,53.272925,-9.052348,56 Central Restaurant,,,"Covid Safety Charter,Food and Drink,Restaurant,Pubs and Bar,Fine Dining"
24,Act24,53.3493056292935,-6.26020515750122,6 Day Northern Ireland Tour - Vagabond Tours of Ireland,,,"Activity Operator,Tour"
25,Act25,53.2872152821415,-6.12311677152729,64 Wine,,,"Food and Drink,Restaurant"
26,Act26,53.343801,-6.269701,7 Day All Ireland Rocker Tour - Shamrocker Adventures,,,"Activity Operator,Tour"
27,Act27,53.0844372051494,-6.10577993557354,"7 Day Magnetic North Adventure Tour, Vagabond Tours of Ireland",,,"Activity Operator,Tour"
28,Act28,53.3493056292935,-6.26020515750122,7 Day Treasure Ireland Tour - Vagabond Tours of Ireland,,,"Activity Operator,Tour"
29,Act29,53.3493056292935,-6.26020515750122,7 Day World Tour of Ireland - Vagabond Tours of Ireland,,,"Activity Operator,Tour"
30,Act30,54.2116305,-9.0987116,"7th Wave Surf, Sup, Kayak School",,,"Surfing,Activity Operator"
31,Act31,53.3493056292935,-6.26020515750122,8 Day Wild Irish Rover - Vagabond Tours of Ireland,,,"Activity Operator,Tour"
32,Act32,53.2721788149031,-9.04947254971209,A Heritage Walk of Old Galway,,,"Activity Operator,Tour,Walking"
33,Act33,53.3422400230571,-6.25164772594451,A Spasso A Dublino - Italian Tour in Dublin,,,"Walking,Activity Operator,Tour"
34,Act34,53.336932,-6.236283,A Touch of Ireland Ltd.,,,"Covid Safety Charter,Activity Operator,Tour"
35,Act35,53.618081,-9.672464,Aasleagh Falls,,,Discovery Point
36,Act36,53.3446096824302,-6.27682906018833,Abbey Ireland & UK,,,"Activity Operator,Tour"
37,Act37,52.231827,-6.862713,Abbey Par 3 Golf Club,,,"Pitch And Putt,General,Pitch and Putt"
38,Act38,52.248165,-9.742521,Annagh Church,,,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
39,Act39,53.429856,-7.9442923,Abbey Road Artists’ Studios,,,"Craft,Shopping,Art Gallery"
40,Act40,52.264196,-7.102184,Abbey Road Gardens,,,"Gardens,Garden"
41,Act41,53.34854,-6.257107,Abbey Theatre,,,"Covid Safety Charter,Venue,Music,Food and Drink,Pubs and Bar,Cafe,Activity Operator,Tour"
42,Act42,53.34854,-6.257107,Abbey Theatre Tours,,,"Activity Operator,Tour"
43,Act43,53.6334654024929,-7.78910667668568,Abbeyderg Abbey and Graveyard,,,"Photography,Learning,Historic Houses and Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery,Ruins"
44,Act44,52.384547,-9.301963,Abbeyfeale Farmers Market,,,"Food and Drink,Restaurant,Shopping,Shopping Centres and Department Store,Food Shops"
45,Act45,52.921763,-7.3372447,Abbeyleix Golf Club,,,"Golf,Golf Course"
46,Act46,52.9172919,-7.3464114,Abbeyleix Heritage House,,,"Covid Safety Charter,Tracing Your Ancestors,Museums and Attraction,Historic Houses and Castle,Cafe,Food and Drink,Tour"
47,Act47,52.9068305299693,-7.35307920316802,Abbeyleix Loops - Killamuck Bog,,,"Walking,Natural Landscape"
48,Act48,53.5796914273899,-7.6583470787125,Abbeyshrule Monastery,,,"Photography,Learning,Historic Houses and Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery,Ruins"
49,Act49,51.8984153316716,-8.47400571035269,About Cork Taxi Tours,,,"Activity Operator,Tour"
50,Act50,53.2972947317128,-6.14870248101192,Aboveboard,,,"Cycling,Kitesurfing,Windsurfing,Activity Operator,Surfing"
51,Act51,53.343616,-6.264233,Acapulco Dublin,,,"Food and Drink,Restaurant"
52,Act52,53.3413375482743,-6.2647229331352,Accents Coffee & Tea Lounge,,,"Food and Drink,Restaurant,Pubs and Bar"
53,Act53,51.9022032,-8.4692546,ACET - Cork Language Centre International,,,"Covid Safety Charter,Learning"
54,Act54,53.9747652,-10.1285782,Achill Archaeological Field School - Scoil Seandálúil Acla,,,"Covid Safety Charter,Learning,Activity Operator"
55,Act55,53.9742244,-10.1328197,Achill Bikes - Bike Rental,,,"Cycling,Activity Operator,Bike Rental"
56,Act56,53.976098,-10.0810517,Achill Cliff House Restaurant,,,"Food and Drink,Restaurant"
57,Act57,53.9626100660387,-9.99073259547387,Achill Cycle Hub,,,"Cycling,Island,Offshore Island"
58,Act58,53.983983,-10.080603,Achill Experience and Aquarium,,,"Covid Safety Charter,Museums and Attraction,Zoos and Aquarium,Food Shops,Shopping"
59,Act59,53.97578,-10.0676021,Achill Golf Club,,,"Golf,Golf Course"
60,Act60,53.9762269,-9.9833712,Achill Heritage Centre,,,"Tracing Your Ancestors,Museums and Attraction,Activity Operator"
61,Act61,53.9729098377987,-10.1242851467434,Achill Island - Dooagh Loop Walk,,,"Walking,Natural Landscape"
62,Act62,53.9517526424668,-9.99389294297557,Achill Island -Acaill,,,"Craft,Shopping,Bird Watching,Nature and Wildlife,Climbing,Activity Operator,Cycling,Fishing,Angling,Golf,Horse Riding,Equestrian,Kayaking,Kitesurfing,Windsurfing,Surfing,Swimming,Swimming Pools and Water Park,Venue,Walking,Island,Offshore Island"
63,Act63,53.97379137841,-10.1260904496032,"Achill Island Blueway, Achill Island",,,Beach
64,Act64,53.9732731739707,-10.1368075500764,Achill Island Heritage Tours,,,"Activity Operator,Tour"
65,Act65,53.9626100660387,-9.99073259547387,Achill Isle Walks,,,"Covid Safety Charter,Walking,Activity Operator,Tour"
66,Act66,53.9576243,-9.9685692,Achill Outdoor Education Centre,,,"Adventure Park,Activity Operator"
67,Act67,53.9776589,-10.0451336,Achill Seaweed Baths,,,"Pampering,Health Farm,Spa and Wellness,Specialised Retreat,Spa"
68,Act68,53.875656,-9.9595077,Achill Secret Garden,,,"Gardens,Garden,Tour"
69,Act69,53.9725795088618,-10.0792666145332,Achill Surf & Kayak,,,"Cycling,Kayaking,Activity Operator,Surfing,Walking,Venue,Sports Venues"
70,Act70,52.7095672,-8.5085895,Acorn Restaurant,,,"Food and Drink,Restaurant,Seafood,Vegetarian"
71,Act71,52.242381,-7.0895609,Activate,,,"Covid Safety Charter,Climbing,Activity Operator,Movies,Cinema,Venue,Cafe,Food and Drink"
72,Act72,53.3583925,-6.4491178,Activities Ireland,,,"Golf,Activity Operator,Venue,Sports Venues,Tour"
73,Act73,51.9395051,-8.5674229,Activity Days Ltd.,,,"Covid Safety Charter,Cycling,Food and Drink,Restaurant,Kayaking,Activity Operator,Sailing,Walking,Tour"
74,Act74,53.3403825,-6.3007858,Adam Ladd Tours,,,"Activity Operator,Tour,Walking,Day Tour"
75,Act75,53.300625,-6.215285,Adams & Butler,,,"Covid Safety Charter,Golf,Activity Operator,Tour"
76,Act76,52.5518669162486,-8.77973613258908,Adare Franciscan Friary,,,"Photography,Learning,Historic Houses and Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery,Ruins"
77,Act77,52.5647887,-8.7898313,Adare Heritage Centre,,,"Covid Safety Charter,Restaurant,Shopping,Shopping Centres and Department Store,Craft,Tracing Your Ancestors,Museums and Attraction,Cafe,Food and Drink,Tour,Food Shops"
78,Act78,52.562085705516,-8.79321382607429,Adare Village & Riverbank Walk,,,Walking
79,Act79,52.56479,-8.789833,Adare Woollens,,,"Shopping,Shopping Centres and Department Store,Craft,Food Shops"
80,Act80,52.684946,-6.778635,Adelaide Memorial Church,,,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
81,Act81,53.332501,-6.258781,Adelaide Road Presbyterian Church,,,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
82,Act82,52.17701,-7.250912,Adrian Cooke Classical Art Atelier,,,"Learning,Activity Operator"
83,Act83,51.6844057,-9.7104121,Adrigole Arts,,,"Craft,Shopping,Art Gallery,Food Shops"
84,Act84,51.8970869054031,-8.47502159701708,AdvenTour in Cork,,,"Activity Operator,Tour"
85,Act85,52.186723,-7.086347,ADVENTURE 001 Ireland,,,"Activity Operator,Day Tour,Tour"
86,Act86,53.0188517199791,-9.31895341098016,ADVENTURE 001 Ireland - Helicopter Tours,,,"Activity Operator,Tour"
87,Act87,53.3488728652515,-6.25930291817713,Adventure Breaks Ireland - Segway Tour,,,"Activity Operator,Tour"
88,Act88,53.3488840730941,-6.25930828259504,Adventure Breaks Ireland Bicycle Rental,,,"Cycling,Bike Rental"
89,Act89,53.0382944,-9.0551087,Adventure Burren,,,"Activity Operator,Climbing,Cycling,Kayaking"
90,Act90,54.2304964391538,-8.3012295257849,Adventure Gently,,,"Kayaking,Activity Operator"
91,Act91,53.5536588112235,-9.94810605761722,Adventure Getaways with Connemara Wild Escapes,,,"Activity Operator,Tour"
92,Act92,52.93231,-9.20297,Adventure Kayaking Tours,,,"Kayaking,Activity Operator"
93,Act93,55.247959,-7.701934,Adventure One Surf School,,,"Surfing,Activity Operator"
94,Act94,53.3496638,-6.2704305,Adventure Rooms Dublin,,,"Covid Safety Charter,Activity Operator"
95,Act95,53.1191408281519,-9.66904792855837,Adventure Tours Inis Mor,,,"Covid Safety Charter,Activity Operator,Tour"
96,Act96,53.232080708613,-9.46731509511847,Aer Arann Islands,,,"Coach,Road,Transport"
97,Act97,53.232266,-9.46964,Aerfort Réigiúnach Chonamara (Connemara Regional Airport),,,"Transport,Coach,Road"
98,Act98,52.9222166,-7.5140093,Aghaboe Abbey,,,"Church Abbey,Monastery,Churches,Abbeys and Monastery,Ruins,Historic Houses and Castle"
99,Act99,51.912194,-8.724551,Agharinagh Inspirational Gardens,,,"Gardens,Garden"
100,Act100,53.1667259,-6.1880463,Agricultural Heritage Display Centre,,,"Agriculture,Nature and Wildlife,Museums and Attraction"
101,Act101,51.59751,-9.621448,Ahakista Air India Plane Disaster Memorial,,,Public Sculpture
102,Act102,52.4125374566596,-7.39333338161782,Ahenny High Crosses,,,"Church Abbey,Monastery,Churches,Abbeys and Monastery,Ruins,Historic Houses and Castle"
103,Act103,54.6333848,-8.4460411,Ahoy Café,,,"Covid Safety Charter,Food and Drink,Restaurant,Cafe,Seafood"
104,Act104,52.447323,-9.482015,Aidi MacDáibhi Celtic Jewellery,,,"Shopping,Shopping Centres and Department Store,Craft,Food Shops"
105,Act105,54.9436594,-7.6983954,Aileach Restaurant,,,"Food and Drink,Restaurant"
106,Act106,53.4164726309031,-10.1401412242919,Aillebrack Green Coast Beach 2019,,,Beach
107,Act107,53.089126,-9.143653,Duplicate Aillwee Cave & The Birds Of Prey Centre,,,"Learning,Museums and Attraction,Falconry,Nature and Wildlife,Bird Watching,Walking,Visitor Farm,Natural Landscape,Cafe,Food and Drink,Tour,Food Shops,Shopping"
108,Act108,53.0891282,-9.1436674,Aillwee Cave & The Birds of Prey Centre,,,"Covid Safety Charter,Learning,Falconry,Nature and Wildlife,Museums and Attraction,Natural Landscape,Activity Operator,Cafe,Food and Drink,Tour,Food Shops,Shopping"
109,Act109,53.762114,-6.351277,Aine Dunne - Fine Art Tapestry Weaver,,,"Learning,Craft,Shopping,Art Gallery,Activity Operator"
110,Act110,53.428486,-6.243069,Aircoach,,,"Transport,Coach,Road"
111,Act111,52.6479582,-6.2260467,Courtown  Beach,,,Beach
112,Act112,53.2881795,-6.2369953,Airfield Estate,,,"Covid Safety Charter,Restaurant,Walking,Visitor Farm,Local Produce,Food and Drink,Food Shops,Shopping,Tour"
113,Act113,53.0044789,-9.2627951,Airmid Natural Handmade Skincare,,,"Learning,Craft,Shopping"
114,Act114,53.2276828,-8.8803425,AJLA Restaurant,,,"Food and Drink,Restaurant,Seafood"
115,Act115,51.84421,-9.9086594,Alaind Walking Sneem,,,"Walking,Activity Operator,Tour"
116,Act116,54.276444346788,-8.49441129053582,Alainn Tours,,,"Activity Operator,Tour"
117,Act117,53.503391,-10.031529,Alan Gaillard Stoneware Pottery,,,"Shopping,Shopping Centres and Department Store,Craft,Food Shops"
118,Act118,51.6806008,-9.453056,Albatross Escape Rooms,,,Activity Operator
119,Act119,53.334945,-6.257232,Alex Restaurant,,,"Food and Drink,Restaurant,Seafood"
120,Act120,53.3347402832561,-6.25750520601275,Alfie Byrne's,,,"Food and Drink,Restaurant,Pubs and Bar,Vegetarian"
121,Act121,53.334945,-6.257232,Alfie's Bar and Grill,,,"Food and Drink,Restaurant,Pubs and Bar,Seafood,Vegetarian"
122,Act122,53.329644,-6.245333,Alix Gardners Cookery School,,,"Learning,Cooking,Cookery,Historic Houses and Castle,Activity Operator,Artisan,Food and Drink,Restaurant,Local Produce"
123,Act123,52.2393818711705,-7.07549231468045,All Ireland Chauffeur - Coach Tours,,,"Activity Operator,Tour"
124,Act124,53.4875722,-10.0206564,All Things Connemara,,,"Shopping,Shopping Centres and Department Store,Activity Operator,Bike Rental,Cycling,Food Shops"
125,Act125,51.650442197433,-10.0509686404297,Allihies - Ballydonegan Loop,,,Walking
126,Act126,51.6489510524492,-10.0516552859375,Allihies - Kealogue Mine Loop,,,Walking
127,Act127,51.638933,-10.045585,Allihies Copper Mine Museum,,,"Covid Safety Charter,Learning,Walking,Museums and Attraction,Cafe,Food and Drink"
128,Act128,51.6391211806187,-10.045510909174,Allihies Copper Mine Tour,,,"Walking,Activity Operator,Tour"
129,Act129,52.4465992,-9.4842248,"Allo's Restaurant, Bar & Bistro",,,"Food and Drink,Restaurant"
130,Act130,53.1174754,-9.2861007,Aloha Surf School,,,"Surfing,Activity Operator"
131,Act131,53.3552083170315,-6.26182401719666,Alpha College of English,,,Learning
132,Act132,54.2159,-9.09244,Alpine Fishery,,,"Fishing,Angling"
133,Act133,52.7357813084342,-6.72083739021298,Altamont Gardens,,,"Gardens,Garden,Cafe,Food and Drink"
134,Act134,51.514061,-9.6438852,Altar,,,Discovery Point
135,Act135,51.8976506,-8.4747435,Alternative Bread Company,,,"Shopping,Shopping Centres and Department Store,Food Shops"
136,Act136,55.1832747091389,-7.969439296019,Alternative Visions,,,"Photography,Learning,Activity Operator,Tour"
137,Act137,53.1106151,-6.1381173,Altidore Castle,,,"Museums and Attraction,Historic Houses and Castle,Castle"
138,Act138,52.2602341,-7.1187809,Altitude Cycle & Outdoor Store,,,"Shopping,Shopping Centres and Department Store,Food Shops"
139,Act139,53.3643182,-6.4883839,Alvito's Italian Restaurant,,,"Food and Drink,Restaurant"
140,Act140,52.6631013855745,-8.62726945078339,Amazing Irish Vacations,,,"Activity Operator,Tour"
141,Act141,53.352709,-6.261968,Ambassador Theatre,,,
142,Act142,51.899358,-8.474213,Amicus Restaurant,,,"Covid Safety Charter,Food and Drink,Restaurant"
143,Act143,53.1443074,-6.0625099,AMOC Jewellery,,,"Shopping,Shopping Centres and Department Store,Craft,Food Shops"
144,Act144,52.0895,-10.536,An Blascaod Mór,,,Discovery Point
145,Act145,55.0952355866344,-7.53358418684104,An Bonnán Buí,,,"Food and Drink,Restaurant,Seafood,Vegetarian"
146,Act146,54.223721,-9.989789,An Builín Blasta,,,"Food and Drink,Restaurant,Cafe"
147,Act147,53.880075,-9.9472967,An Chéibh Bheag (Cloghmore Pier),,,"Fishing,Angling,Embarkation Point,Boat,Tour"
148,Act148,52.181771,-10.207747,An Chonair (Conor Pass),,,Discovery Point
149,Act149,54.9485758,-8.3599426,An Club Beag,,,"Activity Operator,Cafe,Food and Drink"
150,Act150,53.3508903,-6.2542657,"An Evening of Food, Folklore and Fairies",,,"Food and Drink,Restaurant,Activity Operator,Venue,Music,Traditionally Irish,Pubs and Bar,Food Shops,Shopping"
151,Act151,54.09554,-10.085653,An Fál Mór (Falmore),,,Discovery Point
152,Act152,54.098875,-10.060762,An Fód Dubh (Blacksod Harbour),,,Embarkation Point
153,Act153,51.5164822518373,-9.66788012695315,Ballyrisode Green Coast Beach 2019,,,Beach
154,Act154,53.7556220728349,-6.26566479895018,An Grianan,,,"Learning,Cooking,Cookery"
155,Act155,53.754937,-6.264549,An Grianan Adult Education College,,,"Restaurant,Craft,Shopping,Cooking,Cookery,Learning,Food and Drink,Local Produce,Activity Operator"
156,Act156,54.953345,-7.731991,An Grianán Theatre,,,"Venue,Comedy,Music,Cafe,Food and Drink"
157,Act157,53.0520549175125,-6.19505022094722,An Irish Anglers World Wicklow,,,"Fishing,Angling,Activity Operator"
158,Act158,53.281066,-6.476837,An Poitin Stil,,,"Food and Drink,Restaurant"
159,Act159,53.799036,-9.522252,An Port Mor Restaurant,,,"Covid Safety Charter,Food and Drink,Restaurant"
160,Act160,53.274567,-9.047359,An Pucan Bar,,,"Food and Drink,Restaurant,Pubs and Bar"
161,Act161,52.980229,-8.4042105,An Sibin Equestrian Centre,,,"Horse Riding,Equestrian"
162,Act162,51.9456574,-9.1706322,An Siopa at The Mills,,,"Shopping,Shopping Centres and Department Store,Food Shops"
163,Act163,51.8965912,-8.4765482,An Spailpín Fánac,,,"Food and Drink,Restaurant,Pubs and Bar"
164,Act164,51.623167,-8.885853,An Sugan Seafood Bar & Restaurant,,,"Covid Safety Charter,Food and Drink,Restaurant,Pubs and Bar,Seafood,Vegetarian"
165,Act165,54.004604,-6.400612,An Táin Arts Centre,,,"Craft,Shopping,Learning,Art Gallery,Venue,Comedy,Traditionally Irish,Food and Drink,Pubs and Bar"
166,Act166,55.137024,-8.100882,An tSean Bheairic,,,"Covid Safety Charter,Craft,Shopping,Museums and Attraction,Cafe,Food and Drink,Food Shops"
167,Act167,51.6842538,-9.9557065,Anam Cara Writer's and Artist's Retreat,,,"Learning,Activity Operator"
168,Act168,52.729145,-9.1057419,Ancestral Line,,,"Tracing Your Ancestors,Activity Operator"
169,Act169,53.2054043732246,-8.02080289059847,Ancestral Voices Limited,,,"Activity Operator,Tour"
170,Act170,52.089821,-7.618756,Anchor Bar Dungarvan,,,"Food and Drink,Restaurant,Pubs and Bar"
171,Act171,54.0117268925552,-6.3468879297709,Anchor Tours,,,"Transport,Coach,Road"
172,Act172,54.2477282,-6.9721375,Andy's Bar & Restaurant,,,"Food and Drink,Restaurant,Pubs and Bar"
173,Act173,52.6591346,-8.6288578,Angela Woulfe Gallery,,,"Craft,Shopping,Art Gallery"
174,Act174,52.6653,-8.62566,Angela's Ashes Walking Tour,,,"Walking,Activity Operator,Literary Ireland,Tour"
175,Act175,52.1720486,-9.5504684,Anglers Paradise Fishing Guides,,,"Fishing,Angling,Activity Operator"
176,Act176,53.359149,-6.358864,Anglers Rest,,,"Covid Safety Charter,Food and Drink,Restaurant,Seafood"
177,Act177,53.5889263,-9.9644048,Anglers Rest Bar,,,"Food and Drink,Restaurant,Pubs and Bar"
178,Act178,52.512917,-7.166836,Angling at Jerpoint Park,,,"Fishing,Angling,Natural Landscape,Activity Operator"
179,Act179,51.5804761368337,-9.15483689279705,Angling Ballinlough,,,"Fishing,Angling"
180,Act180,54.4606885449987,-8.46304148183724,Angling Ballyshannon District,,,"Fishing,Angling"
181,Act181,52.225983,-7.34221,Angling Ballyshunock Reservoir,,,"Fishing,Angling"
182,Act182,54.1009968037999,-7.43472900793968,Angling Belturbet,,,"Fishing,Angling"
183,Act183,52.6168495261355,-8.81276636800171,Angling Bleach Lough,,,"Fishing,Angling,Activity Operator,Boat,Tour"
184,Act184,53.340054,-6.284188,Angling Bohernabreena Reservoirs,,,"Fishing,Angling"
185,Act185,51.8181618012555,-9.74959805606923,Angling Cloonee System,,,"Fishing,Angling"
186,Act186,53.2188683440708,-7.73017937648581,Angling in Lough Boora,,,"Cycling,Fishing,Angling,Walking,Activity Operator,Cafe,Food and Drink,Bike Rental"
187,Act187,54.2237,-9.98892,Angling In The Barony Of Erris,,,"Fishing,Angling"
188,Act188,51.906862,-8.9637,Angling Middle Lee,,,"Fishing,Angling"
189,Act189,53.9835159,-8.2868153,Angling Services Ireland,,,"Fishing,Angling,Activity Operator,Boat,Tour"
190,Act190,53.6693383921237,-7.30451437128095,Angling White Lake,,,"Fishing,Angling"
191,Act191,52.0459256,-9.5044579,Angsana Spa at The Brehon,,,"Pampering,Health Farm,Spa and Wellness,Specialised Retreat,Spa"
192,Act192,52.4013104884045,-8.56227956923772,Animal Magic – Falconry and Conservation,,,"Bird Watching,Nature and Wildlife"
193,Act193,52.3954961,-6.9436031,Ann McDonald’s Upper Deck Café,,,"Covid Safety Charter,Food and Drink,Restaurant,Cafe"
194,Act194,53.249783,-7.398389,Annaharvey Farm Cookery School,,,"Learning,Museums and Attraction,Cooking,Cookery,Activity Operator"
195,Act195,53.252068,-7.39603,Annaharvey Farm Equestrian Centre,,,"Horse Riding,Equestrian,Activity Operator"
196,Act196,53.9865713,-7.3223043,Annalee Restaurant,,,"Food and Drink,Restaurant,Seafood,Vegetarian"
197,Act197,54.0379000768116,-6.18602350592071,Annaloughan Loop,,,"Walking,Natural Landscape"
198,Act198,52.6613024,-8.6293925,Annemarie Bourke Studio Gallery,,,"Craft,Shopping,Learning,Art Gallery"
199,Act199,52.2002048,-8.4757718,Annes Grove Miniature Castle,,,"Historic Houses and Castle,Castle"
200,Act200,52.1391984,-7.2727997,Annestown Beach ,,,"Surfing,Activity Operator,Swimming,Swimming Pools and Water Park,Venue,Walking,Beach,Natural Landscape"
201,Act201,52.6493762,-7.250052,Anocht Restaurant at Kilkenny Design Centre,,,"Food and Drink,Restaurant"
202,Act202,51.7057512682578,-8.52417533685332,Aperitif - Wine & Tapas Bar,,,"Food and Drink,Restaurant"
203,Act203,51.6986259,-8.4654576,Aphrodite Hills Spa at the Kinsale Hotel,,,"Pampering,Health Farm,Spa and Wellness,Specialised Retreat,Spa,Food and Drink,Pubs and Bar,Restaurant"
204,Act204,53.306327,-6.220299,"Applied Language Centre, University College Dublin",,,Learning
205,Act205,54.2114822,-9.0994848,Après Tea,,,"Food and Drink,Restaurant,Cafe"
206,Act206,52.263495,-9.709561,Aqua Golf,,,"Golf,Swimming Pool,Swimming Pools and Water Park,Venue,Cafe,Food and Drink,Activity Operator"
207,Act207,53.3880061928278,-6.06638090223151,Aqua Restaurant,,,"Covid Safety Charter,Food and Drink,Restaurant,Fine Dining,Seafood"
208,Act208,51.4793383232169,-9.37713246114331,Aquaventures,,,"Swimming,Swimming Pools and Water Park,Venue,Activity Operator"
209,Act209,53.397004,-6.370179,AquaZone at  the National Aquatic Centre,,,"Restaurant,Swimming,Swimming Pools and Water Park,Venue,Swimming Pool,Food and Drink,Food Shops,Shopping"
210,Act210,54.98829765,-8.520194041,Árainn Mhór - Arranmore Island,,,Discovery Point
211,Act211,53.1193423,-9.6654901,Aran Bike Hire,,,"Cycling,Activity Operator,Bike Rental"
212,Act212,53.016199106306,-9.37747390175184,Aran Island & Cliffs of Moher,,,"Activity Operator,Tour,Boat"
213,Act213,53.2742051404657,-9.04757590588185,Aran Island Ferries,,,"Transport,Activity Operator,Coach,Road"
214,Act214,53.3455498280955,-6.25923664657512,Aran Islands - 2 Day Tour Quicktours,,,"Activity Operator,Tour"
215,Act215,53.0594423,-9.5281381,Aran Islands - Inisheer  - Inis Oírr,,,"Island,Offshore Island"
216,Act216,53.1280443,-9.7315917,Aran Islands - Inishmore - Inis Árainn,,,"Island,Offshore Island"
217,Act217,53.0846945641393,-9.58965917016294,Aran Islands - Inishmaan - Inis Meáin,,,"Island,Offshore Island"
218,Act218,53.351003,-6.250291,Aran Islands Tour - Railtours Ireland First Class!,,,"Activity Operator,Tour"
219,Act219,53.1191919,-9.6701839,Aran Pony & Trap,,,"Activity Operator,Tour"
220,Act220,53.11908,-9.6693531,Aran Sweater Market,,,"Shopping,Shopping Centres and Department Store,Craft,Food Shops"
221,Act221,52.6926465,-8.9208242,Aran Sweater Market,,,"Craft,Shopping,Shopping Centres and Department Store,Food Shops"
222,Act222,52.0588301,-9.5075729,Aran Sweater Market,,,"Shopping,Shopping Centres and Department Store,Craft,Food Shops"
223,Act223,53.5237695137512,-7.33997729919736,Áras an Mhuilinn Regional Comhaltas Centre,,,"Learning,Traditionally Irish,Literary Ireland,Cafe,Food and Drink"
224,Act224,53.361618,-6.311431,Áras an Uachtaráin,,,"Historic Houses and Castle,Gardens,Garden,Tour"
225,Act225,54.2224665540833,-9.98893250511912,Áras Inis Gluaire,,,"Learning,Museums and Attraction,Movies,Cinema,Venue,Craft,Shopping,Art Gallery,Music,Cafe,Food and Drink"
226,Act226,52.742058,-6.9747303,Arboretum Inspirational Gardens,,,"Shopping,Shopping Centres and Department Store,Gardens,Garden,Cafe,Food and Drink"
227,Act227,53.3509571,-6.2871173,Arbour Hill Cemetery,,,"Public Park,Nature and Wildlife,Tour"
228,Act228,53.3656392193716,-6.29209543788909,Arbutus Garden Tours,,,"Activity Operator,Tour"
229,Act229,53.717798,-6.2839232,Architectural Furniture,,,"Shopping,Shopping Centres and Department Store,Craft,Food Shops"
230,Act230,53.3399625,-6.2473358,Architectural History Ireland,,,"Walking,Historic Houses and Castle,Activity Operator,Tour"
231,Act231,53.2697959,-9.0540644,Ard Bia at Nimmos,,,"Food and Drink,Restaurant,Seafood,Vegetarian"
232,Act232,54.662845,-8.101196,Ard Na Breatha Restaurant,,,"Food and Drink,Restaurant"
233,Act233,53.5403754959373,-9.28800408924667,Ard na Gaoithe - Ardnageeha Loop Walk,,,"Walking,Forest Park,Park and Forest Walk"
